sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.6,mlp,0.7109 ± 0.0145,0.6585 ± 0.0135,0.6835 ± 0.0068,0.7074 ± 0.0073,0.7074 ± 0.0073,0.0722 ± 0.0120,0.8485 ± 0.0267,0.0989 ± 0.0079
HC with fairness constraints and equal number of protected attribute lambda = 0.6,logistic_regression,0.8615 ± 0.0003,0.6069 ± 0.0001,0.7121 ± 0.0001,0.7591 ± 0.0001,0.7591 ± 0.0001,0.1060 ± 0.0001,0.7273 ± 0.0003,0.1109 ± 0.0001
HC with fairness constraints and equal number of protected attribute lambda = 0.6,random_forest,0.7668 ± 0.0045,0.6464 ± 0.0064,0.7014 ± 0.0034,0.7339 ± 0.0024,0.7339 ± 0.0024,0.1086 ± 0.0041,0.7618 ± 0.0075,0.0864 ± 0.0074
HC with fairness constraints and equal number of protected attribute lambda = 0.6,xgboost,0.8570 ± 0.0012,0.6057 ± 0.0026,0.7098 ± 0.0015,0.7569 ± 0.0009,0.7569 ± 0.0009,0.1041 ± 0.0040,0.7324 ± 0.0077,0.1092 ± 0.0048
HC with fairness constraints and equal number of protected attribute lambda = 0.6,mlp,0.7325 ± 0.0158,0.6462 ± 0.0099,0.6865 ± 0.0059,0.7157 ± 0.0072,0.7157 ± 0.0072,0.1168 ± 0.0057,0.7560 ± 0.0157,0.0655 ± 0.0087
HC with fairness constraints and same size as original dataset lambda = 0.7,logistic_regression,0.8172 ± 0.0034,0.7010 ± 0.0040,0.7547 ± 0.0026,0.7808 ± 0.0022,0.7808 ± 0.0022,0.0254 ± 0.0083,0.9391 ± 0.0195,0.0279 ± 0.0118
HC with fairness constraints and same size as original dataset lambda = 0.7,random_forest,0.7735 ± 0.0069,0.7208 ± 0.0053,0.7462 ± 0.0035,0.7665 ± 0.0036,0.7665 ± 0.0036,0.0214 ± 0.0062,0.9526 ± 0.0133,0.0265 ± 0.0093
HC with fairness constraints and same size as original dataset lambda = 0.7,xgboost,0.8131 ± 0.0041,0.7228 ± 0.0051,0.7653 ± 0.0033,0.7875 ± 0.0028,0.7875 ± 0.0028,0.0303 ± 0.0092,0.9304 ± 0.0206,0.0316 ± 0.0142
HC with fairness constraints and same size as original dataset lambda = 0.7,mlp,0.7379 ± 0.0107,0.7052 ± 0.0289,0.7207 ± 0.0116,0.7409 ± 0.0060,0.7409 ± 0.0060,0.0121 ± 0.0039,0.9732 ± 0.0088,0.0207 ± 0.0087
HC with fairness constraints and double the size of original dataset lambda = 0.7,logistic_regression,0.8277 ± 0.0013,0.7201 ± 0.0018,0.7701 ± 0.0007,0.7920 ± 0.0005,0.7920 ± 0.0005,0.1660 ± 0.0015,0.6666 ± 0.0014,0.0468 ± 0.0014
HC with fairness constraints and double the size of original dataset lambda = 0.7,random_forest,0.7816 ± 0.0014,0.7536 ± 0.0033,0.7673 ± 0.0015,0.7811 ± 0.0011,0.7811 ± 0.0011,0.1762 ± 0.0048,0.6784 ± 0.0072,0.0536 ± 0.0059
HC with fairness constraints and double the size of original dataset lambda = 0.7,xgboost,0.8188 ± 0.0022,0.7450 ± 0.0020,0.7802 ± 0.0006,0.7976 ± 0.0006,0.7976 ± 0.0006,0.2006 ± 0.0045,0.6246 ± 0.0072,0.0749 ± 0.0051
HC with fairness constraints and double the size of original dataset lambda = 0.7,mlp,0.7595 ± 0.0087,0.7517 ± 0.0173,0.7554 ± 0.0076,0.7676 ± 0.0057,0.7676 ± 0.0057,0.1649 ± 0.0196,0.7034 ± 0.0245,0.0506 ± 0.0206
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.7,logistic_regression,0.8060 ± 0.0039,0.7434 ± 0.0019,0.7734 ± 0.0014,0.7904 ± 0.0017,0.7904 ± 0.0017,0.1776 ± 0.0032,0.6640 ± 0.0065,0.0546 ± 0.0026
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.7,random_forest,0.7592 ± 0.0044,0.7672 ± 0.0050,0.7632 ± 0.0020,0.7731 ± 0.0020,0.7731 ± 0.0020,0.1616 ± 0.0085,0.7127 ± 0.0130,0.0403 ± 0.0080
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.7,xgboost,0.7972 ± 0.0026,0.7732 ± 0.0025,0.7850 ± 0.0014,0.7973 ± 0.0014,0.7973 ± 0.0014,0.2065 ± 0.0060,0.6351 ± 0.0084,0.0782 ± 0.0074
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.7,mlp,0.7422 ± 0.0245,0.7434 ± 0.0312,0.7418 ± 0.0047,0.7533 ± 0.0046,0.7533 ± 0.0046,0.1474 ± 0.0186,0.7328 ± 0.0297,0.0490 ± 0.0176
HC with fairness constraints and equal number of protected attribute lambda = 0.7,logistic_regression,0.8288 ± 0.0009,0.7224 ± 0.0010,0.7719 ± 0.0008,0.7934 ± 0.0007,0.7934 ± 0.0007,0.1791 ± 0.0032,0.6455 ± 0.0050,0.0577 ± 0.0044
HC with fairness constraints and equal number of protected attribute lambda = 0.7,random_forest,0.7739 ± 0.0029,0.7459 ± 0.0040,0.7596 ± 0.0015,0.7740 ± 0.0012,0.7740 ± 0.0012,0.1596 ± 0.0076,0.7042 ± 0.0104,0.0488 ± 0.0054
HC with fairness constraints and equal number of protected attribute lambda = 0.7,xgboost,0.8206 ± 0.0039,0.7462 ± 0.0038,0.7816 ± 0.0013,0.7990 ± 0.0012,0.7990 ± 0.0012,0.1978 ± 0.0067,0.6286 ± 0.0092,0.0709 ± 0.0082
HC with fairness constraints and equal number of protected attribute lambda = 0.7,mlp,0.7273 ± 0.0116,0.7486 ± 0.0151,0.7376 ± 0.0047,0.7466 ± 0.0048,0.7466 ± 0.0048,0.1227 ± 0.0092,0.7780 ± 0.0107,0.0500 ± 0.0126
HC with fairness constraints and same size as original dataset lambda = 0.8,logistic_regression,0.8512 ± 0.0045,0.6666 ± 0.0045,0.7477 ± 0.0045,0.7810 ± 0.0037,0.7810 ± 0.0037,0.0047 ± 0.0042,0.9875 ± 0.0113,0.0078 ± 0.0024
HC with fairness constraints and same size as original dataset lambda = 0.8,random_forest,0.7884 ± 0.0038,0.6855 ± 0.0029,0.7333 ± 0.0023,0.7600 ± 0.0021,0.7600 ± 0.0021,0.0112 ± 0.0058,0.9732 ± 0.0140,0.0141 ± 0.0079
HC with fairness constraints and same size as original dataset lambda = 0.8,xgboost,0.8431 ± 0.0033,0.6722 ± 0.0035,0.7480 ± 0.0033,0.7799 ± 0.0027,0.7799 ± 0.0027,0.0082 ± 0.0040,0.9786 ± 0.0105,0.0085 ± 0.0037
HC with fairness constraints and same size as original dataset lambda = 0.8,mlp,0.7672 ± 0.0122,0.6730 ± 0.0170,0.7167 ± 0.0053,0.7445 ± 0.0028,0.7445 ± 0.0028,0.0198 ± 0.0171,0.9544 ± 0.0384,0.0217 ± 0.0204
HC with fairness constraints and double the size of original dataset lambda = 0.8,logistic_regression,0.8737 ± 0.0011,0.7070 ± 0.0013,0.7816 ± 0.0005,0.8071 ± 0.0003,0.8071 ± 0.0003,0.1325 ± 0.0006,0.7068 ± 0.0016,0.1051 ± 0.0012
HC with fairness constraints and double the size of original dataset lambda = 0.8,random_forest,0.8202 ± 0.0040,0.7069 ± 0.0009,0.7593 ± 0.0014,0.7831 ± 0.0017,0.7831 ± 0.0017,0.1169 ± 0.0033,0.7510 ± 0.0051,0.1008 ± 0.0034
HC with fairness constraints and double the size of original dataset lambda = 0.8,xgboost,0.8696 ± 0.0025,0.7047 ± 0.0012,0.7785 ± 0.0013,0.8044 ± 0.0012,0.8044 ± 0.0012,0.1309 ± 0.0041,0.7102 ± 0.0083,0.1011 ± 0.0044
HC with fairness constraints and double the size of original dataset lambda = 0.8,mlp,0.8002 ± 0.0095,0.7039 ± 0.0131,0.7488 ± 0.0049,0.7720 ± 0.0033,0.7720 ± 0.0033,0.1159 ± 0.0161,0.7579 ± 0.0244,0.0986 ± 0.0176
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.8,logistic_regression,0.8695 ± 0.0006,0.7119 ± 0.0010,0.7828 ± 0.0004,0.8074 ± 0.0002,0.8074 ± 0.0002,0.1326 ± 0.0003,0.7096 ± 0.0009,0.1048 ± 0.0008
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.8,random_forest,0.7959 ± 0.0028,0.7276 ± 0.0011,0.7602 ± 0.0012,0.7791 ± 0.0014,0.7791 ± 0.0014,0.1310 ± 0.0027,0.7385 ± 0.0052,0.0925 ± 0.0036
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.8,xgboost,0.8542 ± 0.0036,0.7124 ± 0.0015,0.7769 ± 0.0018,0.8009 ± 0.0018,0.8009 ± 0.0018,0.1332 ± 0.0032,0.7131 ± 0.0059,0.0971 ± 0.0033
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.8,mlp,0.7631 ± 0.0100,0.7256 ± 0.0097,0.7438 ± 0.0043,0.7604 ± 0.0044,0.7604 ± 0.0044,0.1282 ± 0.0143,0.7525 ± 0.0230,0.0816 ± 0.0122
HC with fairness constraints and equal number of protected attribute lambda = 0.8,logistic_regression,0.8747 ± 0.0017,0.7075 ± 0.0011,0.7823 ± 0.0002,0.8077 ± 0.0003,0.8077 ± 0.0003,0.1332 ± 0.0013,0.7054 ± 0.0026,0.1055 ± 0.0011
HC with fairness constraints and equal number of protected attribute lambda = 0.8,random_forest,0.8063 ± 0.0031,0.7180 ± 0.0025,0.7596 ± 0.0017,0.7807 ± 0.0016,0.7807 ± 0.0016,0.1262 ± 0.0072,0.7412 ± 0.0123,0.0884 ± 0.0046
HC with fairness constraints and equal number of protected attribute lambda = 0.8,xgboost,0.8631 ± 0.0014,0.7066 ± 0.0030,0.7771 ± 0.0013,0.8024 ± 0.0008,0.8024 ± 0.0008,0.1313 ± 0.0019,0.7120 ± 0.0037,0.0985 ± 0.0026
HC with fairness constraints and equal number of protected attribute lambda = 0.8,mlp,0.7871 ± 0.0125,0.7050 ± 0.0072,0.7437 ± 0.0040,0.7657 ± 0.0049,0.7657 ± 0.0049,0.1164 ± 0.0090,0.7601 ± 0.0168,0.0913 ± 0.0049
HC with fairness constraints and same size as original dataset lambda = 0.9,logistic_regression,0.8389 ± 0.0052,0.6557 ± 0.0085,0.7361 ± 0.0070,0.7876 ± 0.0050,0.7876 ± 0.0050,0.0082 ± 0.0060,0.9738 ± 0.0188,0.0161 ± 0.0082
HC with fairness constraints and same size as original dataset lambda = 0.9,random_forest,0.7770 ± 0.0027,0.6696 ± 0.0080,0.7193 ± 0.0051,0.7733 ± 0.0037,0.7733 ± 0.0037,0.0090 ± 0.0060,0.9737 ± 0.0173,0.0112 ± 0.0023
HC with fairness constraints and same size as original dataset lambda = 0.9,xgboost,0.8240 ± 0.0043,0.6629 ± 0.0095,0.7347 ± 0.0068,0.7861 ± 0.0049,0.7861 ± 0.0049,0.0077 ± 0.0056,0.9761 ± 0.0170,0.0141 ± 0.0092
HC with fairness constraints and same size as original dataset lambda = 0.9,mlp,0.7412 ± 0.0103,0.6660 ± 0.0047,0.7015 ± 0.0036,0.7586 ± 0.0031,0.7586 ± 0.0031,0.0150 ± 0.0076,0.9582 ± 0.0208,0.0140 ± 0.0087
HC with fairness constraints and double the size of original dataset lambda = 0.9,logistic_regression,0.8973 ± 0.0000,0.5603 ± 0.0000,0.6899 ± 0.0000,0.7510 ± 0.0000,0.7510 ± 0.0000,0.0999 ± 0.0000,0.7125 ± 0.0000,0.1171 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.9,random_forest,0.8500 ± 0.0016,0.5797 ± 0.0013,0.6893 ± 0.0008,0.7434 ± 0.0006,0.7434 ± 0.0006,0.0901 ± 0.0035,0.7565 ± 0.0086,0.1157 ± 0.0048
HC with fairness constraints and double the size of original dataset lambda = 0.9,xgboost,0.8906 ± 0.0012,0.5629 ± 0.0013,0.6898 ± 0.0012,0.7501 ± 0.0008,0.7501 ± 0.0008,0.0967 ± 0.0009,0.7234 ± 0.0026,0.1185 ± 0.0015
HC with fairness constraints and double the size of original dataset lambda = 0.9,mlp,0.8316 ± 0.0059,0.5781 ± 0.0083,0.6820 ± 0.0042,0.7358 ± 0.0020,0.7358 ± 0.0020,0.0855 ± 0.0082,0.7715 ± 0.0199,0.1174 ± 0.0089
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.9,logistic_regression,0.8436 ± 0.0038,0.6000 ± 0.0022,0.7013 ± 0.0021,0.7495 ± 0.0018,0.7495 ± 0.0018,0.0728 ± 0.0031,0.8059 ± 0.0077,0.1428 ± 0.0039
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.9,random_forest,0.7867 ± 0.0021,0.6176 ± 0.0027,0.6920 ± 0.0020,0.7328 ± 0.0015,0.7328 ± 0.0015,0.0743 ± 0.0070,0.8194 ± 0.0158,0.1226 ± 0.0066
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.9,xgboost,0.8342 ± 0.0026,0.6017 ± 0.0028,0.6991 ± 0.0014,0.7465 ± 0.0008,0.7465 ± 0.0008,0.0840 ± 0.0058,0.7823 ± 0.0134,0.1261 ± 0.0057
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.9,mlp,0.7554 ± 0.0092,0.6215 ± 0.0073,0.6819 ± 0.0025,0.7193 ± 0.0029,0.7193 ± 0.0029,0.0632 ± 0.0153,0.8509 ± 0.0352,0.1268 ± 0.0108
HC with fairness constraints and equal number of protected attribute lambda = 0.9,logistic_regression,0.8973 ± 0.0000,0.5604 ± 0.0001,0.6899 ± 0.0001,0.7511 ± 0.0000,0.7511 ± 0.0000,0.0999 ± 0.0001,0.7127 ± 0.0002,0.1173 ± 0.0002
HC with fairness constraints and equal number of protected attribute lambda = 0.9,random_forest,0.8394 ± 0.0014,0.5782 ± 0.0025,0.6847 ± 0.0015,0.7388 ± 0.0008,0.7388 ± 0.0008,0.0891 ± 0.0019,0.7609 ± 0.0038,0.1155 ± 0.0045
HC with fairness constraints and equal number of protected attribute lambda = 0.9,xgboost,0.8830 ± 0.0030,0.5663 ± 0.0012,0.6901 ± 0.0009,0.7491 ± 0.0008,0.7491 ± 0.0008,0.0940 ± 0.0013,0.7334 ± 0.0038,0.1207 ± 0.0013
HC with fairness constraints and equal number of protected attribute lambda = 0.9,mlp,0.8070 ± 0.0107,0.5795 ± 0.0078,0.6745 ± 0.0038,0.7267 ± 0.0032,0.7267 ± 0.0032,0.0701 ± 0.0075,0.8140 ± 0.0208,0.1217 ± 0.0109
HC with fairness constraints and same size as original dataset lambda = 1.0,logistic_regression,0.7328 ± 0.0034,0.5621 ± 0.0082,0.6361 ± 0.0052,0.6873 ± 0.0029,0.6873 ± 0.0029,0.0578 ± 0.0201,0.8554 ± 0.0452,0.0693 ± 0.0194
HC with fairness constraints and same size as original dataset lambda = 1.0,random_forest,0.6720 ± 0.0019,0.6211 ± 0.0062,0.6455 ± 0.0033,0.6720 ± 0.0019,0.6720 ± 0.0019,0.0196 ± 0.0156,0.9571 ± 0.0335,0.0260 ± 0.0119
HC with fairness constraints and same size as original dataset lambda = 1.0,xgboost,0.7284 ± 0.0031,0.6072 ± 0.0068,0.6623 ± 0.0052,0.7001 ± 0.0037,0.7001 ± 0.0037,0.0463 ± 0.0165,0.8909 ± 0.0351,0.0533 ± 0.0133
HC with fairness constraints and same size as original dataset lambda = 1.0,mlp,0.6438 ± 0.0134,0.6300 ± 0.0345,0.6359 ± 0.0122,0.6550 ± 0.0037,0.6550 ± 0.0037,0.0197 ± 0.0190,0.9588 ± 0.0386,0.0288 ± 0.0133
HC with fairness constraints and double the size of original dataset lambda = 1.0,logistic_regression,0.7962 ± 0.0049,0.5610 ± 0.0046,0.6582 ± 0.0033,0.7153 ± 0.0024,0.7153 ± 0.0024,0.1667 ± 0.0054,0.6026 ± 0.0077,0.0513 ± 0.0075
HC with fairness constraints and double the size of original dataset lambda = 1.0,random_forest,0.6991 ± 0.0043,0.6178 ± 0.0058,0.6559 ± 0.0025,0.6881 ± 0.0019,0.6881 ± 0.0019,0.1186 ± 0.0068,0.7531 ± 0.0143,0.0215 ± 0.0104
HC with fairness constraints and double the size of original dataset lambda = 1.0,xgboost,0.7759 ± 0.0037,0.6078 ± 0.0063,0.6816 ± 0.0040,0.7241 ± 0.0027,0.7241 ± 0.0027,0.1613 ± 0.0024,0.6448 ± 0.0068,0.0404 ± 0.0044
HC with fairness constraints and double the size of original dataset lambda = 1.0,mlp,0.6754 ± 0.0063,0.6446 ± 0.0145,0.6595 ± 0.0072,0.6815 ± 0.0046,0.6815 ± 0.0046,0.1056 ± 0.0264,0.7931 ± 0.0477,0.0332 ± 0.0066
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.0,logistic_regression,0.7285 ± 0.0028,0.6405 ± 0.0060,0.6817 ± 0.0042,0.7118 ± 0.0031,0.7118 ± 0.0031,0.1528 ± 0.0045,0.6917 ± 0.0074,0.0469 ± 0.0102
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.0,random_forest,0.6861 ± 0.0021,0.6548 ± 0.0034,0.6701 ± 0.0010,0.6913 ± 0.0006,0.6913 ± 0.0006,0.1049 ± 0.0094,0.7932 ± 0.0167,0.0298 ± 0.0038
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.0,xgboost,0.7361 ± 0.0064,0.6636 ± 0.0051,0.6979 ± 0.0023,0.7237 ± 0.0028,0.7237 ± 0.0028,0.1323 ± 0.0062,0.7332 ± 0.0120,0.0188 ± 0.0019
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.0,mlp,0.6577 ± 0.0186,0.6421 ± 0.0398,0.6487 ± 0.0169,0.6684 ± 0.0105,0.6684 ± 0.0105,0.0653 ± 0.0436,0.8679 ± 0.0908,0.0644 ± 0.0256
HC with fairness constraints and equal number of protected attribute lambda = 1.0,logistic_regression,0.7725 ± 0.0089,0.5635 ± 0.0040,0.6516 ± 0.0015,0.7063 ± 0.0026,0.7063 ± 0.0026,0.1330 ± 0.0086,0.6790 ± 0.0217,0.0206 ± 0.0080
HC with fairness constraints and equal number of protected attribute lambda = 1.0,random_forest,0.6928 ± 0.0016,0.6162 ± 0.0064,0.6523 ± 0.0037,0.6840 ± 0.0022,0.6840 ± 0.0022,0.1055 ± 0.0055,0.7786 ± 0.0113,0.0238 ± 0.0053
HC with fairness constraints and equal number of protected attribute lambda = 1.0,xgboost,0.7554 ± 0.0051,0.6172 ± 0.0042,0.6793 ± 0.0038,0.7178 ± 0.0033,0.7178 ± 0.0033,0.1341 ± 0.0041,0.7063 ± 0.0093,0.0205 ± 0.0051
HC with fairness constraints and equal number of protected attribute lambda = 1.0,mlp,0.6561 ± 0.0146,0.5981 ± 0.0248,0.6254 ± 0.0150,0.6565 ± 0.0117,0.6565 ± 0.0117,0.0819 ± 0.0435,0.8313 ± 0.0833,0.0422 ± 0.0229
HC with fairness constraints and same size as original dataset lambda = 1.1,logistic_regression,0.5772 ± 0.0078,0.5973 ± 0.0164,0.5870 ± 0.0115,0.5925 ± 0.0087,0.5925 ± 0.0087,0.0142 ± 0.0091,0.9719 ± 0.0179,0.0249 ± 0.0139
HC with fairness constraints and same size as original dataset lambda = 1.1,random_forest,0.5915 ± 0.0033,0.5864 ± 0.0089,0.5889 ± 0.0048,0.6023 ± 0.0032,0.6023 ± 0.0032,0.0083 ± 0.0066,0.9831 ± 0.0129,0.0128 ± 0.0064
HC with fairness constraints and same size as original dataset lambda = 1.1,xgboost,0.6049 ± 0.0056,0.6359 ± 0.0081,0.6200 ± 0.0065,0.6222 ± 0.0060,0.6222 ± 0.0060,0.0075 ± 0.0067,0.9855 ± 0.0128,0.0124 ± 0.0057
HC with fairness constraints and same size as original dataset lambda = 1.1,mlp,0.5735 ± 0.0110,0.5762 ± 0.0459,0.5735 ± 0.0211,0.5855 ± 0.0074,0.5855 ± 0.0074,0.0094 ± 0.0079,0.9794 ± 0.0197,0.0193 ± 0.0092
HC with fairness constraints and double the size of original dataset lambda = 1.1,logistic_regression,0.6143 ± 0.0027,0.6654 ± 0.0050,0.6389 ± 0.0031,0.6430 ± 0.0027,0.6430 ± 0.0027,0.1252 ± 0.0052,0.7837 ± 0.0086,0.0948 ± 0.0089
HC with fairness constraints and double the size of original dataset lambda = 1.1,random_forest,0.6004 ± 0.0026,0.5950 ± 0.0032,0.5977 ± 0.0014,0.6176 ± 0.0017,0.6176 ± 0.0017,0.1091 ± 0.0125,0.7931 ± 0.0217,0.0727 ± 0.0217
HC with fairness constraints and double the size of original dataset lambda = 1.1,xgboost,0.6071 ± 0.0063,0.6911 ± 0.0135,0.6464 ± 0.0093,0.6424 ± 0.0080,0.6424 ± 0.0080,0.1472 ± 0.0277,0.7621 ± 0.0398,0.1055 ± 0.0276
HC with fairness constraints and double the size of original dataset lambda = 1.1,mlp,0.5823 ± 0.0125,0.6258 ± 0.0518,0.6017 ± 0.0180,0.6080 ± 0.0043,0.6080 ± 0.0043,0.1130 ± 0.0264,0.8016 ± 0.0432,0.0849 ± 0.0364
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.1,logistic_regression,0.6003 ± 0.0017,0.7281 ± 0.0042,0.6580 ± 0.0023,0.6438 ± 0.0020,0.6438 ± 0.0020,0.1163 ± 0.0082,0.8171 ± 0.0120,0.0802 ± 0.0105
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.1,random_forest,0.5844 ± 0.0054,0.6309 ± 0.0050,0.6068 ± 0.0049,0.6116 ± 0.0053,0.6116 ± 0.0053,0.0951 ± 0.0124,0.8309 ± 0.0202,0.0520 ± 0.0183
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.1,xgboost,0.6003 ± 0.0094,0.7384 ± 0.0103,0.6622 ± 0.0092,0.6459 ± 0.0103,0.6459 ± 0.0103,0.1300 ± 0.0216,0.8009 ± 0.0290,0.0671 ± 0.0200
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.1,mlp,0.5774 ± 0.0209,0.6045 ± 0.0300,0.5904 ± 0.0230,0.6012 ± 0.0212,0.6012 ± 0.0212,0.0688 ± 0.0352,0.8732 ± 0.0609,0.0470 ± 0.0191
HC with fairness constraints and equal number of protected attribute lambda = 1.1,logistic_regression,0.6301 ± 0.0073,0.6625 ± 0.0057,0.6458 ± 0.0042,0.6545 ± 0.0054,0.6545 ± 0.0054,0.1450 ± 0.0114,0.7472 ± 0.0203,0.1061 ± 0.0140
HC with fairness constraints and equal number of protected attribute lambda = 1.1,random_forest,0.5845 ± 0.0038,0.5924 ± 0.0143,0.5884 ± 0.0087,0.6049 ± 0.0053,0.6049 ± 0.0053,0.0893 ± 0.0073,0.8308 ± 0.0128,0.0488 ± 0.0092
HC with fairness constraints and equal number of protected attribute lambda = 1.1,xgboost,0.6059 ± 0.0079,0.6879 ± 0.0036,0.6443 ± 0.0055,0.6407 ± 0.0072,0.6407 ± 0.0072,0.1410 ± 0.0112,0.7697 ± 0.0159,0.0938 ± 0.0230
HC with fairness constraints and equal number of protected attribute lambda = 1.1,mlp,0.5732 ± 0.0076,0.5433 ± 0.0381,0.5569 ± 0.0190,0.5876 ± 0.0048,0.5876 ± 0.0048,0.0616 ± 0.0209,0.8738 ± 0.0364,0.0326 ± 0.0270
HC with fairness constraints and same size as original dataset lambda = 1.2,logistic_regression,0.8093 ± 0.0080,0.6408 ± 0.0067,0.7152 ± 0.0067,0.7540 ± 0.0056,0.7540 ± 0.0056,0.0342 ± 0.0121,0.9126 ± 0.0299,0.0299 ± 0.0099
HC with fairness constraints and same size as original dataset lambda = 1.2,random_forest,0.7506 ± 0.0053,0.6662 ± 0.0058,0.7059 ± 0.0053,0.7358 ± 0.0046,0.7358 ± 0.0046,0.0231 ± 0.0071,0.9463 ± 0.0161,0.0219 ± 0.0061
HC with fairness constraints and same size as original dataset lambda = 1.2,xgboost,0.8032 ± 0.0093,0.6504 ± 0.0038,0.7188 ± 0.0056,0.7551 ± 0.0053,0.7551 ± 0.0053,0.0203 ± 0.0110,0.9486 ± 0.0275,0.0197 ± 0.0058
HC with fairness constraints and same size as original dataset lambda = 1.2,mlp,0.7262 ± 0.0059,0.6662 ± 0.0144,0.6948 ± 0.0051,0.7226 ± 0.0019,0.7226 ± 0.0019,0.0292 ± 0.0111,0.9344 ± 0.0247,0.0343 ± 0.0074
HC with fairness constraints and double the size of original dataset lambda = 1.2,logistic_regression,0.8306 ± 0.0018,0.6664 ± 0.0017,0.7395 ± 0.0010,0.7715 ± 0.0008,0.7715 ± 0.0008,0.1626 ± 0.0031,0.6495 ± 0.0061,0.0676 ± 0.0030
HC with fairness constraints and double the size of original dataset lambda = 1.2,random_forest,0.7832 ± 0.0042,0.6915 ± 0.0011,0.7345 ± 0.0021,0.7588 ± 0.0023,0.7588 ± 0.0023,0.1506 ± 0.0070,0.6966 ± 0.0127,0.0532 ± 0.0039
HC with fairness constraints and double the size of original dataset lambda = 1.2,xgboost,0.8175 ± 0.0033,0.6842 ± 0.0024,0.7450 ± 0.0013,0.7727 ± 0.0013,0.7727 ± 0.0013,0.1681 ± 0.0054,0.6522 ± 0.0097,0.0667 ± 0.0077
HC with fairness constraints and double the size of original dataset lambda = 1.2,mlp,0.7720 ± 0.0063,0.6912 ± 0.0127,0.7293 ± 0.0058,0.7528 ± 0.0037,0.7528 ± 0.0037,0.1631 ± 0.0096,0.6793 ± 0.0168,0.0677 ± 0.0043
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.2,logistic_regression,0.7950 ± 0.0012,0.7042 ± 0.0028,0.7469 ± 0.0013,0.7697 ± 0.0008,0.7697 ± 0.0008,0.1510 ± 0.0034,0.6966 ± 0.0050,0.0569 ± 0.0031
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.2,random_forest,0.7372 ± 0.0031,0.7237 ± 0.0055,0.7304 ± 0.0028,0.7447 ± 0.0022,0.7447 ± 0.0022,0.1448 ± 0.0070,0.7321 ± 0.0108,0.0587 ± 0.0083
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.2,xgboost,0.7865 ± 0.0045,0.7114 ± 0.0052,0.7470 ± 0.0020,0.7680 ± 0.0017,0.7680 ± 0.0017,0.1535 ± 0.0037,0.6978 ± 0.0048,0.0517 ± 0.0024
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.2,mlp,0.7197 ± 0.0109,0.7184 ± 0.0102,0.7189 ± 0.0026,0.7319 ± 0.0044,0.7319 ± 0.0044,0.1258 ± 0.0169,0.7670 ± 0.0276,0.0607 ± 0.0139
HC with fairness constraints and equal number of protected attribute lambda = 1.2,logistic_regression,0.8315 ± 0.0026,0.6590 ± 0.0012,0.7353 ± 0.0016,0.7688 ± 0.0015,0.7688 ± 0.0015,0.1392 ± 0.0034,0.6889 ± 0.0068,0.0781 ± 0.0026
HC with fairness constraints and equal number of protected attribute lambda = 1.2,random_forest,0.7687 ± 0.0018,0.6900 ± 0.0023,0.7272 ± 0.0015,0.7507 ± 0.0013,0.7507 ± 0.0013,0.1428 ± 0.0047,0.7140 ± 0.0084,0.0546 ± 0.0034
HC with fairness constraints and equal number of protected attribute lambda = 1.2,xgboost,0.8190 ± 0.0013,0.6682 ± 0.0033,0.7359 ± 0.0021,0.7670 ± 0.0015,0.7670 ± 0.0015,0.1402 ± 0.0060,0.6946 ± 0.0100,0.0683 ± 0.0041
HC with fairness constraints and equal number of protected attribute lambda = 1.2,mlp,0.7475 ± 0.0049,0.6977 ± 0.0121,0.7217 ± 0.0049,0.7418 ± 0.0027,0.7418 ± 0.0027,0.1389 ± 0.0131,0.7303 ± 0.0192,0.0636 ± 0.0096
