sex,household_size,prev_residence_place,age,economic_status,cur_eco_activity,household_position,marital_status,occupation,citizenship,country_birth,edu_level
male,113,1,4,111,133,1122,2,1,1,1,3
male,125,1,13,111,131,1110,1,0,1,1,5
male,113,1,6,111,131,1122,2,0,1,1,2
female,126,1,10,111,138,1110,1,1,1,1,5
male,125,1,8,111,135,1122,2,1,1,1,5
male,111,1,10,111,135,1210,1,1,1,1,3
male,113,1,12,111,136,1122,2,1,1,1,5
female,113,1,8,111,131,1122,2,1,1,1,2
male,113,1,5,111,131,1122,2,1,1,1,4
male,114,1,9,111,122,1122,2,1,1,1,5
male,113,1,10,120,135,1110,1,0,1,1,3
female,113,1,10,111,138,1122,2,0,1,1,3
female,113,1,11,111,138,1122,2,0,1,1,3
male,114,1,7,111,131,1110,1,1,1,1,5
female,114,1,7,111,135,1140,3,1,1,1,1
male,111,1,11,111,136,1210,4,0,1,1,3
female,112,1,8,111,131,1121,2,0,1,1,3
female,114,1,12,111,133,1122,2,1,1,1,3
male,125,1,6,111,131,1122,2,0,1,1,5
male,113,1,9,111,131,1132,1,1,1,1,3
male,112,1,8,111,131,1131,1,0,1,1,2
male,112,1,11,111,124,1210,1,0,1,1,2
male,113,1,10,111,138,1132,4,0,1,1,1
female,111,1,7,120,135,1210,4,0,1,1,1
female,113,1,8,120,131,1110,1,0,1,1,3
male,126,1,5,112,138,1110,1,0,1,1,2
female,113,1,7,111,133,1122,2,1,1,1,5
male,112,1,11,111,137,1131,1,0,1,1,1
female,111,1,8,111,139,1131,1,1,1,1,3
female,112,1,6,111,131,1110,1,1,1,1,3
female,126,1,9,111,135,1210,1,1,1,1,5
male,114,1,8,111,138,1122,2,1,1,1,5
male,125,1,5,111,136,1122,2,0,1,1,1
male,113,1,9,111,132,1122,2,1,1,1,5
female,114,1,7,111,135,1110,1,1,1,1,3
male,113,1,6,111,135,1122,2,1,1,1,5
male,112,1,9,111,137,1121,2,0,1,1,3
male,113,1,9,111,139,1110,1,1,1,1,4
male,113,1,10,111,131,1122,2,0,1,1,5
male,113,1,9,111,131,1122,2,0,1,1,1
female,113,1,7,111,133,1122,2,1,1,1,5
male,125,1,5,112,131,1122,2,0,1,1,4
male,113,1,11,111,138,1122,2,1,1,1,3
female,111,1,8,111,131,1210,4,1,1,1,5
female,114,1,7,111,133,1122,2,0,1,1,4
female,112,1,10,111,131,1131,1,1,1,1,5
male,113,1,9,120,133,1122,2,0,1,1,3
female,114,1,7,111,111,1122,2,0,1,1,3
male,113,1,4,111,135,1122,2,0,1,1,2
male,114,1,10,111,138,1122,2,0,1,1,2
male,112,1,6,111,131,1121,2,1,1,2,3
female,111,1,13,111,137,1210,1,0,1,1,3
female,125,1,12,111,132,1122,2,0,1,1,2
male,114,1,8,111,122,1122,2,1,1,1,5
female,112,1,9,120,131,1121,2,0,1,1,3
female,114,1,7,111,134,1122,2,0,1,1,3
male,125,1,9,111,131,1110,1,1,1,1,5
female,112,1,10,111,138,1121,2,0,1,1,3
male,112,1,4,112,131,1121,4,0,1,1,2
female,111,1,12,120,111,1220,1,0,1,1,3
male,125,1,7,111,131,1132,1,1,1,1,5
female,114,1,5,111,122,1122,2,0,1,1,4
female,111,1,7,111,138,1210,1,1,1,1,2
male,112,1,7,111,138,1131,1,0,1,1,2
female,114,1,4,112,135,1110,1,0,1,3,2
female,125,1,9,111,132,1110,1,0,1,1,2
male,112,1,5,111,134,1121,2,1,1,1,5
male,125,1,6,111,139,1122,2,0,1,1,3
female,126,1,8,120,139,1132,1,0,1,1,3
female,113,1,9,111,139,1132,1,0,1,1,2
female,125,1,11,111,131,1110,1,0,1,1,2
female,114,1,8,111,135,1110,1,0,1,1,3
male,112,1,5,111,131,1121,2,1,1,1,3
female,113,1,7,111,131,1122,2,0,1,1,2
female,113,1,6,111,137,1122,2,0,1,1,3
female,125,1,9,111,135,1122,2,1,1,1,3
female,112,1,12,111,137,1121,2,1,1,1,5
female,114,1,8,111,131,1122,2,0,1,1,3
male,112,1,11,111,139,1121,2,1,1,1,3
female,112,1,8,111,124,1121,2,1,1,1,5
male,114,1,11,111,136,1122,2,1,1,1,4
male,125,1,13,111,137,1122,2,1,1,1,5
male,112,1,6,111,122,1131,2,1,1,1,5
female,113,1,10,111,139,1122,2,0,1,1,5
female,111,1,10,111,133,1210,4,1,1,2,3
male,114,1,10,111,122,1122,2,0,1,1,3
female,114,1,6,111,122,1122,2,1,1,1,5
male,112,1,4,112,122,1121,4,0,1,1,1
female,113,1,4,112,134,1122,2,1,1,1,5
female,125,1,13,111,137,1122,2,0,1,1,3
female,114,1,10,111,138,1122,2,1,1,1,4
female,113,1,10,111,135,1122,2,1,1,1,5
female,114,1,15,111,138,1122,2,1,1,1,3
female,111,1,10,111,138,1210,1,0,1,1,2
female,114,1,5,111,131,1122,2,1,1,1,5
female,112,1,5,112,138,1121,2,0,1,1,2
male,111,1,8,111,132,1210,1,0,1,1,3
male,125,1,5,111,131,1122,2,1,1,1,5
female,114,1,6,111,133,1122,2,1,1,1,3
male,114,1,6,111,138,1122,2,0,1,1,3
male,114,1,7,111,135,1122,2,0,1,1,2
male,114,1,8,111,122,1122,2,0,1,1,5
female,114,1,6,112,135,1110,1,1,1,2,1
female,126,1,8,120,131,1110,1,0,1,1,2
male,112,1,8,111,131,1131,4,0,1,1,2
female,114,1,7,111,135,1122,2,1,1,1,3
female,111,1,12,120,135,1210,1,1,1,1,3
male,114,1,12,111,122,1122,2,0,1,3,1
male,125,1,8,111,135,1122,2,0,1,1,3
female,111,1,9,111,139,1210,1,0,1,1,3
male,113,2,4,112,135,1122,4,0,2,3,3
male,114,1,4,111,132,1122,2,1,1,1,2
female,113,1,8,111,134,1122,2,1,1,1,5
male,114,1,10,111,124,1110,1,1,1,1,3
male,112,1,6,111,136,1121,2,1,1,1,5
female,114,1,8,111,131,1132,1,1,1,1,3
male,113,1,14,111,135,1122,2,0,1,1,3
male,114,1,10,111,136,1122,2,1,1,1,3
male,113,1,7,111,134,1140,4,0,1,1,3
female,112,1,9,111,139,1121,2,1,1,1,5
male,126,1,4,120,138,1122,2,1,1,1,4
female,112,1,10,111,133,1121,2,1,1,1,5
male,114,1,7,111,135,1122,2,1,1,2,5
male,114,1,8,111,132,1132,1,0,1,1,3
male,112,1,10,120,135,1140,4,0,1,1,3
female,113,1,5,111,131,1110,1,1,1,1,2
male,113,1,7,111,122,1122,2,1,1,1,3
male,112,1,8,111,135,1121,2,1,1,1,3
male,111,1,7,111,135,1210,4,1,1,1,5
male,113,1,7,111,134,1122,2,0,1,1,5
female,113,1,6,111,133,1122,2,1,1,3,3
male,111,1,11,120,131,1210,4,1,1,2,2
male,111,2,8,111,131,1210,1,0,2,1,4
male,112,1,10,111,131,1121,2,0,1,1,3
male,114,1,8,111,135,1132,1,1,1,1,3
female,114,2,8,111,131,1110,1,1,1,1,5
female,114,1,5,111,136,1122,2,0,1,1,3
male,111,1,8,111,135,1210,1,0,1,2,3
male,113,1,12,111,131,1122,2,1,1,2,5
male,113,2,11,111,138,1122,2,1,1,1,1
male,125,1,6,111,139,1122,2,1,1,1,5
male,113,1,12,111,131,1122,2,1,1,1,3
female,112,1,9,111,138,1121,2,1,1,1,3
male,114,1,9,111,139,1122,2,1,1,1,1
female,125,1,10,111,134,1110,1,0,1,1,3
male,112,1,6,111,137,1121,2,0,1,1,2
female,114,1,11,111,131,1122,2,0,1,1,2
female,111,1,5,111,138,1121,2,1,1,1,5
male,112,1,9,111,122,1121,2,1,1,1,5
male,112,1,9,111,131,1121,2,0,1,1,2
male,114,1,10,111,137,1122,2,0,1,1,3
male,125,1,9,111,131,1110,1,0,1,1,2
female,112,1,11,111,136,1131,1,0,1,1,3
male,125,2,7,111,137,1122,2,0,1,1,1
male,112,1,8,111,131,1121,2,0,1,1,2
female,112,1,7,111,135,1121,2,1,1,1,5
male,113,1,6,111,136,1122,2,1,1,1,3
male,114,1,8,111,131,1122,2,1,1,1,5
male,111,1,7,111,131,1210,1,1,1,1,3
female,112,1,7,120,139,1121,2,1,1,1,5
male,112,1,6,111,135,1131,1,0,1,1,3
female,112,1,7,111,131,1121,2,0,1,1,2
female,111,1,9,111,132,1210,4,1,1,1,4
male,113,1,7,111,122,1140,4,0,1,1,3
female,111,1,4,111,139,1210,4,0,1,1,3
male,112,1,9,111,135,1121,2,1,1,1,5
male,114,1,10,120,111,1122,2,0,1,1,5
female,114,1,13,120,138,1122,2,1,1,1,3
female,111,1,10,111,133,1210,1,0,1,1,3
male,126,1,5,111,124,1122,2,1,1,1,3
male,113,1,7,111,133,1122,2,1,1,1,5
male,125,1,9,111,122,1122,2,0,1,1,1
female,113,1,8,111,131,1110,1,1,1,1,5
male,111,1,8,120,139,1210,1,1,1,1,5
male,126,1,10,111,136,1122,2,1,1,1,5
female,114,1,6,111,135,1122,2,1,1,1,5
male,111,1,13,111,122,1140,4,0,1,1,1
male,111,1,10,120,138,1210,1,0,1,1,3
female,114,1,12,111,139,1122,2,1,1,1,5
male,113,1,11,120,131,1110,4,1,1,1,2
male,114,1,7,111,138,1122,2,0,1,1,3
female,114,2,11,111,137,1122,2,0,1,1,3
male,111,1,7,111,131,1210,1,0,1,1,3
female,114,1,10,111,131,1132,4,0,1,1,3
female,125,1,6,111,138,1110,1,1,1,1,1
male,111,1,7,111,131,1210,4,1,1,3,0
male,125,1,5,112,133,1122,2,1,1,1,5
female,126,1,4,112,131,1122,2,0,1,2,3
female,111,1,8,111,135,1210,2,0,1,1,1
female,125,1,11,111,138,1122,2,0,1,1,3
female,114,1,6,111,135,1110,1,1,2,1,3
male,112,1,4,111,138,1121,2,0,1,1,3
female,113,1,6,111,135,1122,2,0,1,1,3
male,112,1,12,111,135,1131,1,1,1,1,5
female,114,1,11,120,135,1110,1,0,1,1,4
male,112,1,5,111,122,1140,1,1,1,1,3
female,112,1,8,111,131,1131,1,0,2,1,3
male,114,1,12,111,137,1122,2,0,1,1,3
male,113,1,11,111,135,1122,2,0,1,1,3
female,114,1,5,111,131,1122,2,1,1,1,3
male,126,1,13,120,139,1122,2,0,1,1,2
female,113,1,10,111,131,1110,1,1,1,1,5
male,112,1,11,111,131,1110,1,1,1,1,3
female,112,1,11,111,134,1121,2,0,1,1,3
male,112,1,13,111,135,1131,1,1,1,1,5
male,126,1,9,111,131,1122,2,0,1,1,3
female,112,1,6,111,135,1131,1,1,1,1,3
female,125,1,4,112,131,1122,3,1,1,1,5
female,113,1,12,111,138,1132,1,0,1,1,5
male,113,1,6,111,122,1122,2,1,1,1,3
female,126,1,6,111,131,1122,2,1,1,1,3
female,113,2,10,111,122,1122,2,1,1,1,5
female,112,1,9,111,133,1131,1,0,1,1,3
female,114,1,9,111,137,1122,2,0,2,3,3
male,113,1,8,111,135,1122,2,0,1,1,1
female,112,1,8,111,131,1121,2,1,1,1,3
female,112,1,9,111,132,1110,1,0,1,1,5
female,113,1,9,111,137,1132,4,1,1,1,5
male,113,1,7,111,135,1122,2,1,1,1,2
female,125,1,10,111,122,1122,2,0,1,1,3
female,125,1,11,111,122,1122,2,0,1,1,3
female,113,1,11,111,134,1140,4,1,1,1,3
male,112,1,8,111,131,1121,2,1,1,1,5
male,113,1,5,120,131,1122,2,0,1,1,1
male,113,1,10,111,131,1122,2,0,1,1,2
male,112,1,7,111,122,1121,2,0,1,1,3
male,112,1,12,111,131,1131,1,1,1,1,3
female,113,1,7,111,138,1132,1,1,1,1,2
female,114,1,13,120,138,1122,2,0,1,1,3
female,111,1,9,111,122,1210,1,0,2,3,2
male,112,1,7,120,131,1121,2,1,1,1,5
male,112,1,12,120,139,1121,2,1,1,1,5
male,112,2,9,120,132,1110,1,0,1,1,2
male,114,1,7,120,124,1122,2,0,1,1,4
female,112,1,5,111,132,1121,2,0,1,1,3
male,112,1,10,111,133,1131,1,1,1,1,3
female,114,1,11,111,131,1122,2,1,1,1,3
female,114,1,11,111,139,1132,4,0,2,3,3
female,114,2,10,111,135,1122,2,1,1,1,3
male,112,1,11,120,139,1131,2,0,1,1,3
female,113,2,4,112,131,1122,2,0,1,1,1
male,114,1,5,111,131,1122,2,0,1,1,3
male,114,1,4,112,131,1110,1,1,1,1,2
male,126,1,7,111,132,1110,1,1,1,1,5
male,112,1,8,111,131,1121,2,0,1,1,4
female,113,1,10,111,131,1110,1,0,1,1,3
female,112,1,4,111,131,1131,1,0,1,1,2
female,112,1,10,111,137,1121,2,1,1,1,5
female,114,1,12,111,135,1122,2,0,1,1,1
male,126,1,6,112,131,1122,4,1,1,1,5
female,114,1,11,120,135,1122,2,0,1,3,4
male,114,1,9,111,134,1122,2,0,1,1,3
male,125,1,10,111,137,1122,2,0,1,1,2
male,114,1,11,120,111,1122,2,0,1,1,2
female,112,1,5,112,138,1131,1,0,1,1,2
female,112,1,6,111,136,1121,2,1,1,1,3
female,111,1,11,111,135,1210,1,0,1,1,1
female,111,1,7,111,136,1210,1,0,1,1,3
male,111,1,9,111,139,1210,1,0,1,1,3
male,113,1,6,111,122,1122,2,0,1,1,3
female,112,1,12,111,122,1121,2,1,1,1,5
male,114,1,4,112,135,1122,1,0,1,1,5
male,114,1,7,111,122,1122,2,0,1,1,5
male,125,1,8,111,132,1110,1,0,1,1,4
male,113,1,10,111,122,1122,2,1,1,1,5
male,125,1,12,111,131,1122,2,0,1,1,3
female,112,1,7,111,131,1121,2,0,1,3,2
male,111,1,7,111,138,1210,1,1,1,1,5
male,125,1,10,111,137,1122,2,0,1,1,1
male,113,1,10,111,137,1122,2,1,1,1,5
male,114,1,4,112,131,1122,1,1,1,1,3
male,111,1,8,111,131,1210,1,0,1,1,5
female,112,1,11,120,135,1121,2,1,1,1,3
male,114,1,11,111,133,1110,1,0,1,1,3
female,111,1,6,111,137,1210,1,1,1,1,5
male,125,1,12,111,122,1122,2,0,1,1,3
male,112,1,13,111,136,1121,2,0,1,1,3
female,114,1,8,111,132,1122,2,1,1,1,3
female,112,1,4,111,135,1121,2,1,1,1,5
female,114,1,5,111,131,1110,1,0,1,1,2
male,113,1,4,112,131,1132,1,1,1,3,5
female,113,1,4,112,132,1122,4,0,1,1,3
female,113,1,13,120,134,1122,2,0,1,1,3
female,112,1,12,111,133,1131,1,1,1,1,2
male,114,1,11,111,131,1110,1,1,1,1,5
male,113,1,8,111,131,1122,2,0,1,1,3
male,113,1,9,111,137,1122,2,1,1,2,5
male,114,1,9,111,138,1122,2,1,1,1,5
male,114,1,7,111,135,1132,1,0,1,1,3
male,112,1,12,111,135,1131,1,1,1,1,3
male,112,1,5,112,132,1110,1,1,1,1,5
male,114,1,7,111,135,1122,2,0,1,1,2
male,113,1,10,111,135,1122,2,1,1,1,5
female,112,1,10,111,135,1121,2,0,1,1,2
male,125,1,12,111,133,1122,2,1,1,1,5
female,113,1,6,111,135,1122,2,0,1,1,3
female,113,1,5,112,132,1122,4,0,1,1,3
male,114,1,11,111,138,1122,2,0,1,1,1
male,114,1,10,111,135,1110,1,1,1,1,3
male,113,1,4,112,131,1122,4,1,1,2,3
male,114,1,4,111,135,1122,2,0,1,1,3
female,114,1,7,111,135,1220,1,1,1,1,3
female,114,1,9,111,135,1122,2,0,1,1,3
male,125,1,9,111,124,1122,2,0,1,1,2
female,113,1,7,111,135,1220,1,1,1,1,3
female,113,1,10,111,122,1132,1,1,1,1,3
female,113,1,13,111,135,1110,1,0,1,1,3
male,114,1,10,111,134,1110,1,1,1,1,3
male,114,1,11,111,134,1122,2,0,1,1,3
female,113,1,6,111,122,1122,2,1,1,1,2
male,111,1,8,120,131,1210,1,0,1,1,3
male,113,1,11,111,137,1122,2,1,1,1,5
male,114,1,12,111,136,1122,2,0,1,1,3
male,114,1,9,111,138,1122,2,0,1,1,2
male,112,1,7,111,135,1121,2,0,1,1,3
female,112,1,5,111,136,1121,2,0,1,1,2
male,114,1,9,111,136,1122,2,1,1,1,5
male,114,1,11,111,137,1122,2,0,1,1,3
male,114,1,4,120,138,1122,2,0,1,1,2
female,112,2,10,111,138,1121,2,1,1,1,5
female,113,1,9,111,131,1110,1,0,1,1,3
male,114,1,4,112,131,1110,1,1,1,1,5
male,114,1,7,111,137,1122,2,1,1,1,5
male,114,1,7,111,135,1122,2,0,1,1,3
male,113,1,5,112,135,1122,2,0,1,1,3
female,112,1,10,111,137,1121,2,1,1,1,3
female,113,1,10,111,138,1122,2,0,1,1,4
male,112,1,9,120,135,1121,2,1,1,1,5
female,112,1,6,111,111,1121,2,0,1,1,1
male,112,1,10,111,135,1131,4,1,1,1,5
male,114,1,6,111,132,1110,1,1,1,1,5
female,112,1,4,112,139,1131,1,0,2,1,0
male,114,1,10,111,135,1132,1,0,1,1,3
male,114,1,5,111,131,1122,2,0,1,1,2
male,114,1,10,111,139,1122,2,1,1,1,5
male,112,1,8,111,134,1121,2,0,1,1,3
female,111,1,9,120,131,1210,3,1,1,1,3
male,113,1,7,111,131,1122,2,1,1,1,5
male,126,1,8,111,139,1122,2,1,1,1,4
male,113,1,11,120,111,1122,2,1,1,1,5
male,126,1,9,111,131,1122,2,0,1,1,3
male,111,1,9,111,135,1210,4,1,1,1,5
female,113,1,8,111,131,1110,1,0,1,1,3
male,114,1,10,111,131,1122,2,1,1,1,5
female,125,1,5,111,135,1122,2,1,1,1,2
female,114,1,7,111,133,1132,1,1,1,3,3
female,112,1,9,111,122,1121,2,0,1,1,3
male,112,1,9,111,135,1131,1,0,1,1,2
male,112,1,10,111,135,1121,2,1,1,1,5
male,112,1,8,111,131,1121,2,1,1,1,4
male,113,1,10,111,133,1140,3,0,1,1,2
male,113,1,12,111,122,1140,3,1,1,1,3
female,114,1,10,111,135,1122,2,1,1,1,2
male,113,1,5,111,131,1110,1,0,1,1,2
female,113,1,6,111,134,1132,4,1,1,1,3
male,113,1,6,111,138,1132,1,1,3,1,3
female,112,1,7,111,131,1140,4,1,1,1,3
female,111,1,6,111,135,1121,2,1,1,1,3
male,114,1,11,111,137,1122,2,0,1,3,3
male,112,1,12,111,137,1121,2,1,1,1,3
male,113,1,11,111,135,1122,2,1,1,1,5
male,114,1,9,111,133,1122,2,1,1,3,5
male,111,1,12,111,135,1210,1,1,1,1,3
male,112,1,6,111,137,1121,2,0,1,1,3
male,112,1,5,112,131,1121,2,1,1,1,5
female,114,1,7,111,124,1110,1,0,2,3,1
male,112,1,9,111,136,1121,2,1,1,1,5
male,114,1,10,111,138,1122,2,0,1,1,2
male,112,1,5,112,131,1121,2,1,1,1,5
female,113,1,8,111,132,1122,2,0,1,1,3
female,113,1,8,120,135,1140,3,0,2,3,2
male,112,1,10,120,135,1121,2,1,1,1,5
female,114,1,8,111,133,1110,1,0,1,1,3
female,114,1,4,112,131,1122,4,1,1,1,5
female,111,1,4,112,135,1210,1,1,1,1,3
female,112,1,7,111,122,1131,1,0,1,1,2
female,112,1,12,111,136,1131,1,0,1,1,5
male,113,1,6,111,139,1122,2,0,1,1,2
male,113,1,7,111,131,1110,1,0,1,1,3
male,125,1,5,112,131,1110,1,0,1,1,3
female,125,1,8,120,131,1122,2,1,1,1,3
male,114,1,9,111,131,1110,1,0,1,1,3
male,112,1,12,111,131,1110,1,1,1,1,5
female,112,1,10,111,135,1110,2,0,1,1,5
female,112,1,5,112,138,1131,1,0,1,1,2
female,113,1,8,111,131,1110,1,0,1,1,3
female,125,1,10,111,131,1110,1,1,1,1,5
female,114,1,10,111,136,1122,2,1,1,1,3
female,112,1,12,111,138,1131,1,0,1,1,3
female,125,2,9,111,138,1122,2,0,1,1,2
female,113,1,11,111,122,1122,2,1,1,1,5
female,112,1,10,111,136,1131,4,1,1,1,5
female,114,1,11,111,135,1122,2,1,1,1,5
female,114,1,7,111,135,1122,2,0,1,1,3
female,114,1,8,111,131,1122,2,1,1,1,5
female,114,1,7,111,122,1122,2,1,1,1,5
female,114,1,6,111,139,1122,2,0,1,1,2
female,113,1,8,111,131,1122,2,0,1,1,3
male,113,1,9,120,131,1132,4,0,1,1,3
female,114,1,7,111,111,1110,1,0,1,3,3
female,112,1,4,112,131,1121,2,1,1,1,5
male,113,1,5,111,139,1122,2,1,1,1,5
male,112,1,11,111,122,1121,2,0,1,1,3
female,114,1,13,111,134,1122,2,1,2,1,5
female,114,1,9,111,139,1122,2,0,1,1,2
female,112,1,10,111,135,1121,2,1,1,1,5
male,111,1,7,111,138,1132,1,0,1,3,1
female,112,1,11,111,122,1121,2,0,1,1,2
male,112,1,10,120,135,1121,2,0,1,1,1
female,114,1,8,111,131,1110,1,0,1,1,1
male,111,1,7,111,137,1210,4,1,1,1,3
female,125,1,12,111,138,1122,2,0,1,1,3
male,114,1,4,111,139,1122,2,0,1,1,3
male,111,1,12,111,133,1210,4,1,1,1,3
female,113,1,11,111,135,1132,1,0,1,1,3
female,112,1,10,111,135,1121,2,1,1,1,5
female,114,1,9,111,133,1122,2,1,1,1,5
female,112,1,11,111,135,1131,1,0,1,1,3
female,112,1,11,111,131,1121,2,1,1,1,4
female,114,1,10,111,137,1122,2,0,3,3,2
male,113,1,5,111,135,1122,2,0,1,1,5
female,111,1,10,111,137,1210,4,0,1,1,3
male,112,1,6,111,135,1131,4,0,1,2,0
female,111,1,4,112,135,1210,1,0,1,1,3
female,112,1,5,111,135,1131,1,0,1,1,2
male,114,1,11,111,135,1122,2,1,1,1,5
female,114,1,5,111,122,1110,1,1,2,3,5
male,113,1,11,111,131,1110,1,0,1,1,3
female,125,1,8,111,132,1122,2,0,1,1,2
male,111,1,8,111,132,1210,1,1,1,1,2
male,112,1,11,111,133,1131,1,1,1,1,3
female,111,2,7,111,122,1210,4,1,1,1,3
female,112,1,8,111,138,1121,2,1,1,1,5
female,112,1,11,111,135,1121,2,1,1,1,5
male,113,1,6,112,136,1132,1,0,1,1,3
male,114,1,8,111,131,1110,1,0,1,1,5
female,111,1,10,111,135,1210,1,1,1,1,2
male,113,2,4,111,137,1122,2,0,1,1,3
female,114,1,9,111,131,1110,1,1,1,1,3
female,112,1,8,120,139,1131,1,1,1,1,5
female,112,1,8,111,138,1121,2,1,1,1,1
male,113,1,10,111,122,1122,2,0,1,1,2
female,113,1,4,111,131,1122,2,1,1,1,3
male,114,1,10,111,134,1122,2,0,1,1,3
male,113,1,8,111,135,1122,2,1,1,1,3
female,112,1,12,111,135,1121,2,0,1,1,1
male,111,1,4,112,132,1210,1,1,1,1,5
female,114,1,10,111,135,1122,2,0,1,3,3
male,126,1,11,111,136,1122,2,1,1,1,4
female,125,1,12,111,124,1122,2,1,1,1,5
female,125,1,7,111,133,1122,2,1,1,1,3
female,113,1,10,111,137,1132,1,1,1,1,3
male,125,1,4,111,133,1122,2,1,1,1,5
male,114,1,10,120,111,1122,2,1,1,1,5
male,114,1,12,111,122,1122,2,1,1,1,3
male,113,1,12,111,138,1140,4,0,1,1,1
male,111,1,12,111,135,1210,3,0,1,1,3
female,112,1,6,111,131,1121,2,1,1,1,5
female,112,1,12,111,136,1121,2,0,1,1,3
female,113,1,11,111,135,1132,1,0,1,1,2
male,113,1,9,111,138,1122,2,0,1,1,3
female,126,1,10,111,131,1110,1,0,1,1,1
female,113,1,9,111,134,1122,2,0,1,1,3
female,114,1,9,111,139,1122,2,0,1,2,3
female,111,1,9,111,131,1210,1,0,1,1,3
male,114,1,11,111,132,1110,1,0,1,1,2
female,113,1,10,111,135,1122,2,0,1,3,2
male,114,1,13,111,122,1122,2,0,1,3,3
male,111,1,10,111,131,1210,1,0,1,1,1
female,114,1,7,111,139,1122,2,1,1,1,5
female,112,1,10,111,139,1131,1,1,1,1,3
female,114,1,10,111,131,1132,1,1,1,1,4
male,112,1,11,120,139,1131,1,0,1,1,3
female,112,1,10,111,136,1121,2,1,1,1,3
female,113,1,8,120,122,1110,1,0,1,2,0
female,114,1,7,111,131,1132,1,1,1,1,3
female,111,1,6,111,131,1210,1,0,1,1,2
female,114,1,12,111,138,1122,2,0,1,1,2
female,112,1,4,112,131,1121,2,1,1,1,5
male,114,1,5,111,137,1122,2,1,1,1,5
female,114,1,9,111,122,1122,2,1,1,1,5
female,114,1,8,111,122,1122,2,0,1,1,3
male,112,1,11,111,135,1121,2,1,1,1,5
male,113,2,8,111,131,1122,2,0,2,3,2
male,112,1,10,111,133,1131,1,0,1,1,3
female,112,1,9,111,135,1131,1,0,1,1,3
female,114,1,12,111,134,1122,2,1,1,1,2
female,113,1,7,111,134,1122,2,1,1,1,3
male,113,1,8,111,131,1122,2,1,1,1,3
female,112,1,7,120,135,1140,2,1,1,1,5
male,112,1,9,111,138,1121,2,1,1,1,5
male,112,1,7,111,131,1131,4,0,1,1,1
female,114,1,9,111,134,1110,1,0,1,1,1
female,125,1,8,111,131,1122,2,0,1,1,5
female,125,1,10,111,122,1122,2,0,1,1,5
female,112,1,12,111,131,1131,1,0,2,3,2
female,114,1,7,111,122,1122,2,1,1,1,5
female,114,1,12,120,131,1122,2,1,1,1,5
male,125,1,9,111,131,1122,2,1,1,1,3
female,114,1,9,111,132,1110,1,0,1,1,3
male,114,1,8,111,136,1122,2,1,1,1,5
female,113,1,10,111,135,1132,4,1,1,1,2
male,113,1,8,111,131,1140,4,0,1,1,2
female,126,1,7,111,135,1122,2,1,1,1,5
female,113,1,9,111,137,1122,2,1,1,1,5
female,113,1,7,111,134,1122,2,1,1,1,5
male,113,1,11,111,138,1140,4,1,1,1,5
female,113,1,6,111,135,1132,1,0,1,1,1
male,126,1,8,111,131,1110,1,1,1,1,5
female,114,1,7,120,135,1132,1,1,1,1,5
female,112,1,6,111,131,1140,1,1,1,1,4
female,111,1,8,111,139,1210,1,1,1,1,5
male,126,1,4,112,131,1122,2,1,1,1,3
male,113,1,12,111,133,1122,2,1,1,1,3
male,114,1,8,111,135,1122,2,1,1,1,3
female,114,1,9,120,131,1110,1,0,1,1,1
male,112,1,7,111,122,1131,1,1,1,1,5
female,114,1,9,111,131,1122,2,1,1,1,5
male,114,1,4,111,138,1122,2,0,1,1,3
male,114,1,10,111,122,1122,2,0,1,1,3
male,125,1,6,111,134,1110,1,1,1,1,5
female,126,1,12,111,135,1110,1,0,1,1,4
female,112,1,10,111,134,1121,2,0,1,1,3
female,114,1,4,112,131,1122,2,0,1,1,3
male,126,1,5,112,122,1122,4,0,1,1,1
female,112,1,10,111,136,1131,1,1,1,1,4
female,112,1,10,111,138,1121,2,1,1,1,5
male,114,1,4,111,135,1122,2,1,1,1,5
male,112,1,10,111,131,1121,2,1,1,1,5
male,111,1,12,111,136,1210,4,1,1,1,5
female,111,1,10,120,135,1210,3,1,1,1,3
male,114,1,12,111,131,1110,1,1,1,1,5
male,112,1,8,111,122,1121,2,0,1,1,1
male,112,1,10,111,135,1131,1,0,1,1,2
male,114,1,11,111,132,1110,1,1,1,1,5
female,112,1,7,111,122,1121,2,0,1,1,2
female,125,1,8,120,131,1122,2,1,1,1,5
female,112,1,7,111,131,1121,2,0,1,1,3
male,113,1,11,111,131,1122,2,0,1,1,3
male,113,1,7,111,137,1122,2,1,1,1,5
male,114,1,7,111,131,1110,1,0,1,1,1
male,114,1,9,111,131,1122,2,1,1,1,5
female,113,1,5,111,133,1140,1,1,1,1,3
male,114,1,9,111,135,1122,2,0,1,1,4
male,111,1,11,111,131,1210,1,1,1,1,2
female,111,1,9,112,133,1210,1,1,1,1,5
male,125,1,10,111,135,1132,1,1,2,3,5
male,111,1,11,111,131,1210,1,0,1,1,3
male,113,1,9,120,135,1122,2,1,1,1,5
male,114,1,7,111,122,1110,1,0,1,2,3
female,125,1,7,111,136,1220,3,1,1,1,5
male,111,1,8,111,131,1210,1,1,1,1,2
male,111,1,5,112,138,1210,1,1,1,1,5
male,111,1,11,111,124,1210,4,1,1,1,5
male,111,1,8,111,131,1210,4,0,1,1,5
male,111,1,8,111,131,1210,1,0,1,1,3
male,112,1,10,111,122,1121,2,0,1,1,1
