sex,juv_fel_count_cat,race_cat,c_days_from_compas_cat,c_charge_degree,two_year_recid,age_cat,priors_count_cat,juv_other_count_cat,juv_misd_count_cat,days_b_screening_arrest_cat
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_1+,non_white,c_days_from_compas_0,M,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_7-9,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_0,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Female,juv_fel_count_0,white,c_days_from_compas_1,F,0,Greater than 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_22-28,F,0,Less than 25,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-2
Female,juv_fel_count_0,non_white,c_days_from_compas_29+,F,0,25 - 45,priors_count_4-6,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_-1
Female,juv_fel_count_1+,non_white,c_days_from_compas_8-14,M,0,Greater than 45,priors_count_4-6,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Less than 25,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_29+,F,0,Less than 25,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_0,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Female,juv_fel_count_0,non_white,c_days_from_compas_29+,M,0,Greater than 45,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_1+
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,25 - 45,priors_count_10-15,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_2-7,M,0,Less than 25,priors_count_0,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Greater than 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,Less than 25,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_1+,non_white,c_days_from_compas_1,F,0,Greater than 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_2-7,F,0,Greater than 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Female,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,Greater than 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Less than 25,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_8-14,F,0,Greater than 45,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-2
Male,juv_fel_count_0,non_white,c_days_from_compas_2-7,F,0,Less than 25,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,white,c_days_from_compas_0,F,0,Greater than 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,white,c_days_from_compas_15-21,F,0,Less than 25,priors_count_1,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_-2
Male,juv_fel_count_0,white,c_days_from_compas_2-7,F,0,Less than 25,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Female,juv_fel_count_0,white,c_days_from_compas_1,F,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_0,F,0,25 - 45,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,Less than 25,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_0,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,white,c_days_from_compas_0,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,Greater than 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,25 - 45,priors_count_15+,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_1,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,missing,M,0,Greater than 45,priors_count_1,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,missing,M,0,Greater than 45,priors_count_0,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_1+
Male,juv_fel_count_1+,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_1+,non_white,c_days_from_compas_29+,F,0,Greater than 45,priors_count_1,juv_other_count_2+,juv_misd_count_1,days_b_screening_arrest_1+
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Less than 25,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_0,M,0,Less than 25,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_0,F,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_22-28,F,0,Less than 25,priors_count_2-3,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,Greater than 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_1,F,0,Greater than 45,priors_count_2-3,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_0,M,0,Less than 25,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_0,F,0,Greater than 45,priors_count_10-15,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_7-9,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,Less than 25,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Female,juv_fel_count_1+,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_2-3,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_1,M,0,Greater than 45,priors_count_7-9,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Less than 25,priors_count_0,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_0,F,0,25 - 45,priors_count_2-3,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_0
Male,juv_fel_count_0,white,c_days_from_compas_2-7,M,0,Greater than 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_8-14,F,0,Greater than 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-2
Male,juv_fel_count_0,non_white,c_days_from_compas_29+,F,0,25 - 45,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_1+
Male,juv_fel_count_0,white,c_days_from_compas_22-28,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_-2
Female,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_0,M,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_0
Male,juv_fel_count_1+,white,c_days_from_compas_1,F,0,Greater than 45,priors_count_0,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_15-21,F,0,Less than 25,priors_count_2-3,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_lt_-3
Female,juv_fel_count_0,white,c_days_from_compas_1,F,0,Less than 25,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_22-28,F,0,Greater than 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Female,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,Greater than 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,Less than 25,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_2-7,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,Greater than 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_1+,white,c_days_from_compas_1,F,0,25 - 45,priors_count_15+,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_22-28,F,0,25 - 45,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_8-14,F,0,Less than 25,priors_count_1,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_0
Female,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Less than 25,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_1+,white,c_days_from_compas_0,F,0,Greater than 45,priors_count_0,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Greater than 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_29+,M,0,Greater than 45,priors_count_10-15,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_1,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,25 - 45,priors_count_10-15,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_0,M,0,Less than 25,priors_count_4-6,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,missing,F,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,non_white,c_days_from_compas_0,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,white,c_days_from_compas_2-7,F,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,non_white,missing,M,0,Greater than 45,priors_count_4-6,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_1+
Male,juv_fel_count_0,non_white,c_days_from_compas_29+,F,0,Less than 25,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_0,M,0,Less than 25,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_1+,white,c_days_from_compas_1,F,0,Less than 25,priors_count_0,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,Greater than 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_1+,white,c_days_from_compas_0,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_1+,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_10-15,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_1+,white,c_days_from_compas_2-7,F,0,Greater than 45,priors_count_0,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_1+
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_15-21,F,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Greater than 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_2-7,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-2
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_2-7,M,0,Less than 25,priors_count_7-9,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_1,F,0,Greater than 45,priors_count_1,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_0,M,0,25 - 45,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Female,juv_fel_count_0,white,c_days_from_compas_22-28,M,0,25 - 45,priors_count_2-3,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-2
Male,juv_fel_count_0,non_white,c_days_from_compas_0,M,0,Less than 25,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_22-28,F,0,Less than 25,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,white,c_days_from_compas_1,M,0,25 - 45,priors_count_7-9,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,Greater than 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_2-7,M,0,Greater than 45,priors_count_10-15,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,white,c_days_from_compas_8-14,M,0,25 - 45,priors_count_7-9,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_1,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_0,F,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Female,juv_fel_count_1+,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,25 - 45,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,Greater than 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_1,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_1+,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_15+,juv_other_count_2+,juv_misd_count_1,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_2-7,F,0,Greater than 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,non_white,c_days_from_compas_29+,F,0,Greater than 45,priors_count_0,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_1+
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Less than 25,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_29+,F,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,missing,M,0,Greater than 45,priors_count_2-3,juv_other_count_2+,juv_misd_count_1,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,Less than 25,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_0,F,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_22-28,F,0,Less than 25,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Less than 25,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Less than 25,priors_count_2-3,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_0,F,0,25 - 45,priors_count_7-9,juv_other_count_1,juv_misd_count_1,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_0,F,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_1,M,0,Greater than 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_2-7,F,0,Greater than 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_2-7,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-2
Male,juv_fel_count_0,white,c_days_from_compas_1,M,0,Greater than 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_2-7,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-2
Male,juv_fel_count_0,white,c_days_from_compas_1,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_22-28,F,0,Greater than 45,priors_count_1,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_1+
Female,juv_fel_count_1+,white,c_days_from_compas_8-14,M,0,25 - 45,priors_count_10-15,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_29+,M,0,25 - 45,priors_count_2-3,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-2
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Less than 25,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_2-7,F,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_1+
Male,juv_fel_count_0,white,missing,M,0,Greater than 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_1+,white,c_days_from_compas_1,F,0,25 - 45,priors_count_7-9,juv_other_count_2+,cjuv_misd_count_2+,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_29+,F,0,Greater than 45,priors_count_4-6,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Greater than 45,priors_count_10-15,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Greater than 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_2-7,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-2
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,Less than 25,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,juv_fel_count_0,non_white,c_days_from_compas_1,M,0,25 - 45,priors_count_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_1,F,0,Greater than 45,priors_count_2-3,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_-1
Female,juv_fel_count_0,white,c_days_from_compas_29+,F,0,Greater than 45,priors_count_0,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-2
Male,juv_fel_count_0,non_white,c_days_from_compas_1,F,0,25 - 45,priors_count_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1
