age_cat,priors_count_cat,days_b_screening_arrest_cat,sex,c_days_from_compas_cat,juv_fel_count_cat,two_year_recid,c_charge_degree,juv_other_count_cat,race_cat,juv_misd_count_cat
Greater than 45,priors_count_2-3,days_b_screening_arrest_lt_-3,Female,missing,juv_fel_count_0,0,M,juv_other_count_2+,white,juv_misd_count_1
25 - 45,priors_count_0,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_2-3,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_1+,0,F,juv_other_count_2+,non_white,cjuv_misd_count_2+
25 - 45,priors_count_0,days_b_screening_arrest_-1,Female,c_days_from_compas_29+,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Greater than 45,priors_count_0,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_4-6,days_b_screening_arrest_lt_-3,Female,c_days_from_compas_2-7,juv_fel_count_0,0,M,juv_other_count_0,white,cjuv_misd_count_2+
25 - 45,priors_count_1,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_1+,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_10-15,days_b_screening_arrest_0,Female,c_days_from_compas_2-7,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_1,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_2-3,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_15+,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_1,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Less than 25,priors_count_2-3,days_b_screening_arrest_-2,Female,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_1,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_4-6,days_b_screening_arrest_-2,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_4-6,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_10-15,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Greater than 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_2-7,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_7-9,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_0,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_4-6,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_1,days_b_screening_arrest_-1,Male,c_days_from_compas_29+,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_1
Greater than 45,priors_count_0,days_b_screening_arrest_0,Male,missing,juv_fel_count_0,0,F,juv_other_count_2+,white,juv_misd_count_0
Greater than 45,priors_count_0,days_b_screening_arrest_-1,Female,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_10-15,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_22-28,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_1,days_b_screening_arrest_-2,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_7-9,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_2-3,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Less than 25,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Less than 25,priors_count_2-3,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_4-6,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_7-9,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_0,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_1,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_1,days_b_screening_arrest_0,Male,c_days_from_compas_8-14,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_15+,days_b_screening_arrest_-1,Male,c_days_from_compas_29+,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Female,c_days_from_compas_0,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_1,non_white,juv_misd_count_0
Less than 25,priors_count_1,days_b_screening_arrest_-1,Female,c_days_from_compas_2-7,juv_fel_count_0,0,M,juv_other_count_2+,non_white,cjuv_misd_count_2+
Greater than 45,priors_count_0,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_2-3,days_b_screening_arrest_1+,Male,c_days_from_compas_29+,juv_fel_count_0,0,M,juv_other_count_2+,white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_1,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_10-15,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_10-15,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_0,days_b_screening_arrest_-2,Female,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_10-15,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_10-15,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_2-3,days_b_screening_arrest_lt_-3,Female,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_4-6,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_0,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_2-3,days_b_screening_arrest_-1,Male,missing,juv_fel_count_0,0,F,juv_other_count_0,white,cjuv_misd_count_2+
Less than 25,priors_count_2-3,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_15+,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
Greater than 45,priors_count_0,days_b_screening_arrest_lt_-3,Female,c_days_from_compas_2-7,juv_fel_count_0,0,F,juv_other_count_1,non_white,juv_misd_count_1
25 - 45,priors_count_2-3,days_b_screening_arrest_-1,Female,c_days_from_compas_2-7,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_1,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_0,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_1,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_1
Greater than 45,priors_count_1,days_b_screening_arrest_0,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_0,Female,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Less than 25,priors_count_1,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_7-9,days_b_screening_arrest_-1,Female,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_2-3,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Greater than 45,priors_count_2-3,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_2-3,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Greater than 45,priors_count_7-9,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_1,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_10-15,days_b_screening_arrest_-1,Male,c_days_from_compas_2-7,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Greater than 45,priors_count_1,days_b_screening_arrest_0,Male,missing,juv_fel_count_0,0,M,juv_other_count_2+,white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_4-6,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_10-15,days_b_screening_arrest_-2,Male,c_days_from_compas_2-7,juv_fel_count_1+,0,F,juv_other_count_2+,non_white,cjuv_misd_count_2+
Less than 25,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,white,cjuv_misd_count_2+
Greater than 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
Greater than 45,priors_count_1,days_b_screening_arrest_0,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_4-6,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_0,days_b_screening_arrest_-1,Female,c_days_from_compas_2-7,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_4-6,days_b_screening_arrest_-1,Female,c_days_from_compas_2-7,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_1,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_1,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Less than 25,priors_count_1,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_2-3,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_15+,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_0,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,M,juv_other_count_2+,white,cjuv_misd_count_2+
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
Greater than 45,priors_count_4-6,days_b_screening_arrest_-2,Female,c_days_from_compas_22-28,juv_fel_count_1+,0,M,juv_other_count_1,white,juv_misd_count_0
Greater than 45,priors_count_1,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_0,days_b_screening_arrest_-2,Female,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
Greater than 45,priors_count_4-6,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
Less than 25,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_4-6,days_b_screening_arrest_1+,Male,c_days_from_compas_15-21,juv_fel_count_0,0,M,juv_other_count_1,non_white,juv_misd_count_0
Greater than 45,priors_count_2-3,days_b_screening_arrest_lt_-3,Male,missing,juv_fel_count_0,0,F,juv_other_count_1,non_white,juv_misd_count_1
Greater than 45,priors_count_0,days_b_screening_arrest_0,Male,c_days_from_compas_29+,juv_fel_count_1+,0,M,juv_other_count_2+,non_white,cjuv_misd_count_2+
25 - 45,priors_count_4-6,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_2-3,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_2-3,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_0,days_b_screening_arrest_0,Male,c_days_from_compas_8-14,juv_fel_count_0,0,M,juv_other_count_1,white,cjuv_misd_count_2+
25 - 45,priors_count_2-3,days_b_screening_arrest_-2,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_1,non_white,juv_misd_count_0
Greater than 45,priors_count_0,days_b_screening_arrest_0,Male,missing,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
Less than 25,priors_count_1,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_4-6,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_1,days_b_screening_arrest_lt_-3,Female,missing,juv_fel_count_0,0,F,juv_other_count_2+,white,cjuv_misd_count_2+
Less than 25,priors_count_1,days_b_screening_arrest_0,Male,c_days_from_compas_22-28,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Greater than 45,priors_count_4-6,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_1,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_2-3,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_4-6,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_4-6,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Less than 25,priors_count_7-9,days_b_screening_arrest_-1,Male,c_days_from_compas_2-7,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_2-3,days_b_screening_arrest_-1,Female,c_days_from_compas_15-21,juv_fel_count_1+,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_1,days_b_screening_arrest_0,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_1,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_4-6,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
Less than 25,priors_count_2-3,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_2-3,days_b_screening_arrest_-1,Male,c_days_from_compas_29+,juv_fel_count_1+,0,F,juv_other_count_0,white,juv_misd_count_1
Greater than 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_15+,days_b_screening_arrest_1+,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
Greater than 45,priors_count_2-3,days_b_screening_arrest_lt_-3,Female,c_days_from_compas_22-28,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Greater than 45,priors_count_2-3,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_2-3,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_10-15,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_1,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_2-3,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_2+,non_white,juv_misd_count_0
Greater than 45,priors_count_2-3,days_b_screening_arrest_-1,Male,c_days_from_compas_2-7,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_2-3,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Female,c_days_from_compas_8-14,juv_fel_count_1+,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_2-3,days_b_screening_arrest_-1,Female,c_days_from_compas_2-7,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_7-9,days_b_screening_arrest_1+,Male,missing,juv_fel_count_1+,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_15+,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_2-7,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_4-6,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Less than 25,priors_count_1,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_8-14,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_1,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_4-6,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_0,Male,c_days_from_compas_22-28,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_0,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_1
Less than 25,priors_count_2-3,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_7-9,days_b_screening_arrest_-2,Male,missing,juv_fel_count_0,0,F,juv_other_count_1,non_white,cjuv_misd_count_2+
Less than 25,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_15-21,juv_fel_count_1+,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_2-3,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_2-3,days_b_screening_arrest_lt_-3,Male,c_days_from_compas_0,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
Less than 25,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,white,juv_misd_count_0
Less than 25,priors_count_0,days_b_screening_arrest_-1,Female,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_2-3,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,white,juv_misd_count_0
Less than 25,priors_count_1,days_b_screening_arrest_-2,Female,c_days_from_compas_15-21,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_2-3,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_0,Male,c_days_from_compas_1,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
Greater than 45,priors_count_2-3,days_b_screening_arrest_0,Male,c_days_from_compas_22-28,juv_fel_count_0,0,F,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_1,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
25 - 45,priors_count_0,days_b_screening_arrest_-1,Male,c_days_from_compas_0,juv_fel_count_0,0,M,juv_other_count_0,non_white,juv_misd_count_0
