sex,two_year_recid,age_cat,priors_count_cat,juv_other_count_cat,c_days_from_compas_cat,race_cat,juv_misd_count_cat,c_charge_degree,days_b_screening_arrest_cat,juv_fel_count_cat
Male,1,25 - 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_4-6,juv_other_count_2+,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_0,white,juv_misd_count_0,M,days_b_screening_arrest_0,juv_fel_count_0
Male,1,Less than 25,priors_count_2-3,juv_other_count_2+,c_days_from_compas_29+,white,juv_misd_count_1,F,days_b_screening_arrest_-2,juv_fel_count_0
Male,1,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_2-7,non_white,juv_misd_count_0,F,days_b_screening_arrest_-2,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_0,white,juv_misd_count_0,M,days_b_screening_arrest_0,juv_fel_count_0
Male,1,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_7-9,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Greater than 45,priors_count_0,juv_other_count_0,c_days_from_compas_0,white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,0,Greater than 45,priors_count_2-3,juv_other_count_0,missing,non_white,cjuv_misd_count_2+,F,days_b_screening_arrest_lt_-3,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,M,days_b_screening_arrest_0,juv_fel_count_0
Male,1,Less than 25,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,1,25 - 45,priors_count_7-9,juv_other_count_1,c_days_from_compas_0,white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Female,1,25 - 45,priors_count_10-15,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_7-9,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Greater than 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Greater than 45,priors_count_7-9,juv_other_count_0,missing,non_white,cjuv_misd_count_2+,M,days_b_screening_arrest_1+,juv_fel_count_1+
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Less than 25,priors_count_0,juv_other_count_0,c_days_from_compas_2-7,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Less than 25,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Female,1,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_0,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Greater than 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,1,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Less than 25,priors_count_4-6,juv_other_count_2+,c_days_from_compas_1,non_white,cjuv_misd_count_2+,F,days_b_screening_arrest_-1,juv_fel_count_1+
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_29+,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Greater than 45,priors_count_15+,juv_other_count_1,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_1+,juv_fel_count_1+
Male,1,25 - 45,priors_count_10-15,juv_other_count_1,missing,non_white,juv_misd_count_1,M,days_b_screening_arrest_-2,juv_fel_count_0
Male,1,25 - 45,priors_count_4-6,juv_other_count_2+,c_days_from_compas_1,white,juv_misd_count_1,F,days_b_screening_arrest_-1,juv_fel_count_1+
Female,1,25 - 45,priors_count_7-9,juv_other_count_1,c_days_from_compas_15-21,non_white,juv_misd_count_0,F,days_b_screening_arrest_1+,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,M,days_b_screening_arrest_0,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Less than 25,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Greater than 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Female,1,Greater than 45,priors_count_7-9,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_15-21,non_white,juv_misd_count_1,F,days_b_screening_arrest_lt_-3,juv_fel_count_0
Female,1,25 - 45,priors_count_7-9,juv_other_count_0,c_days_from_compas_29+,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,0,Less than 25,priors_count_0,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Greater than 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Less than 25,priors_count_1,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_1,F,days_b_screening_arrest_-1,juv_fel_count_0
Female,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Less than 25,priors_count_10-15,juv_other_count_2+,c_days_from_compas_29+,white,juv_misd_count_1,F,days_b_screening_arrest_-2,juv_fel_count_1+
Female,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Less than 25,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Female,1,Greater than 45,priors_count_10-15,juv_other_count_0,c_days_from_compas_22-28,non_white,juv_misd_count_1,F,days_b_screening_arrest_-1,juv_fel_count_1+
Female,0,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_1+
Male,0,Less than 25,priors_count_0,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,M,days_b_screening_arrest_0,juv_fel_count_0
Male,0,Less than 25,priors_count_2-3,juv_other_count_2+,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Female,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_10-15,juv_other_count_1,c_days_from_compas_0,non_white,cjuv_misd_count_2+,F,days_b_screening_arrest_0,juv_fel_count_0
Male,1,Greater than 45,priors_count_7-9,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Greater than 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_0,white,juv_misd_count_0,M,days_b_screening_arrest_0,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_0,juv_fel_count_0
Male,0,Less than 25,priors_count_7-9,juv_other_count_0,c_days_from_compas_8-14,white,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,juv_fel_count_0
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Female,1,Greater than 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Female,1,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Female,1,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_2-7,non_white,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,juv_fel_count_0
Male,0,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_0,juv_other_count_1,c_days_from_compas_8-14,non_white,juv_misd_count_0,M,days_b_screening_arrest_1+,juv_fel_count_0
Male,1,25 - 45,priors_count_15+,juv_other_count_0,c_days_from_compas_29+,non_white,juv_misd_count_0,M,days_b_screening_arrest_0,juv_fel_count_0
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Greater than 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_10-15,juv_other_count_0,c_days_from_compas_8-14,non_white,juv_misd_count_1,M,days_b_screening_arrest_1+,juv_fel_count_0
Female,1,25 - 45,priors_count_2-3,juv_other_count_1,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_29+,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Female,1,25 - 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_2-7,non_white,juv_misd_count_1,F,days_b_screening_arrest_1+,juv_fel_count_1+
Male,1,Greater than 45,priors_count_15+,juv_other_count_0,c_days_from_compas_0,white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,1,25 - 45,priors_count_15+,juv_other_count_0,c_days_from_compas_1,white,cjuv_misd_count_2+,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,M,days_b_screening_arrest_0,juv_fel_count_0
Male,1,25 - 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Greater than 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Greater than 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Less than 25,priors_count_15+,juv_other_count_0,c_days_from_compas_0,white,juv_misd_count_0,M,days_b_screening_arrest_0,juv_fel_count_0
Male,1,Less than 25,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Female,1,25 - 45,priors_count_15+,juv_other_count_2+,c_days_from_compas_1,non_white,cjuv_misd_count_2+,M,days_b_screening_arrest_-2,juv_fel_count_1+
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_2-7,non_white,juv_misd_count_0,F,days_b_screening_arrest_-2,juv_fel_count_0
Female,0,25 - 45,priors_count_4-6,juv_other_count_1,c_days_from_compas_1,non_white,cjuv_misd_count_2+,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Less than 25,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Less than 25,priors_count_4-6,juv_other_count_2+,c_days_from_compas_29+,white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_1+
Female,1,Greater than 45,priors_count_15+,juv_other_count_2+,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_1,juv_other_count_2+,c_days_from_compas_15-21,white,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,juv_fel_count_0
Female,1,Greater than 45,priors_count_15+,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_2-7,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Greater than 45,priors_count_0,juv_other_count_1,c_days_from_compas_15-21,white,juv_misd_count_1,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Greater than 45,priors_count_1,juv_other_count_0,c_days_from_compas_0,white,juv_misd_count_0,M,days_b_screening_arrest_0,juv_fel_count_0
Male,0,Greater than 45,priors_count_1,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Female,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_2-7,white,juv_misd_count_1,M,days_b_screening_arrest_-2,juv_fel_count_1+
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Greater than 45,priors_count_15+,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,0,Greater than 45,priors_count_1,juv_other_count_2+,c_days_from_compas_1,non_white,juv_misd_count_1,F,days_b_screening_arrest_-1,juv_fel_count_1+
Male,1,25 - 45,priors_count_15+,juv_other_count_0,c_days_from_compas_8-14,non_white,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,juv_fel_count_0
Male,1,Less than 25,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Female,0,Greater than 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Less than 25,priors_count_0,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Less than 25,priors_count_1,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Greater than 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Female,1,Less than 25,priors_count_4-6,juv_other_count_1,c_days_from_compas_15-21,non_white,juv_misd_count_0,M,days_b_screening_arrest_lt_-3,juv_fel_count_0
Male,1,Less than 25,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Female,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Greater than 45,priors_count_7-9,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Female,1,Less than 25,priors_count_1,juv_other_count_0,c_days_from_compas_2-7,white,juv_misd_count_1,M,days_b_screening_arrest_-2,juv_fel_count_0
Male,0,25 - 45,priors_count_7-9,juv_other_count_0,c_days_from_compas_29+,non_white,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,juv_fel_count_0
Female,0,Less than 25,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Female,0,25 - 45,priors_count_7-9,juv_other_count_0,c_days_from_compas_2-7,non_white,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,juv_fel_count_0
Male,0,Less than 25,priors_count_1,juv_other_count_0,c_days_from_compas_22-28,non_white,juv_misd_count_0,F,days_b_screening_arrest_1+,juv_fel_count_0
Male,1,Greater than 45,priors_count_10-15,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Female,1,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_22-28,non_white,juv_misd_count_0,M,days_b_screening_arrest_lt_-3,juv_fel_count_0
Male,1,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_0,juv_fel_count_0
Male,1,Less than 25,priors_count_2-3,juv_other_count_1,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_1+,juv_fel_count_1+
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Less than 25,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_15+,juv_other_count_1,c_days_from_compas_1,non_white,juv_misd_count_1,F,days_b_screening_arrest_-1,juv_fel_count_1+
Male,1,Less than 25,priors_count_2-3,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,1,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Less than 25,priors_count_0,juv_other_count_1,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Less than 25,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Less than 25,priors_count_1,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,1,Greater than 45,priors_count_2-3,juv_other_count_0,missing,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_1+
Male,1,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_0,white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Female,1,25 - 45,priors_count_10-15,juv_other_count_0,c_days_from_compas_2-7,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_10-15,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,1,25 - 45,priors_count_10-15,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_8-14,white,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_1,F,days_b_screening_arrest_-1,juv_fel_count_0
Female,0,Greater than 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_2-7,white,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,juv_fel_count_0
Male,1,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_2-7,non_white,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,juv_fel_count_0
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_2-7,non_white,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,juv_fel_count_0
Male,0,Greater than 45,priors_count_1,juv_other_count_0,c_days_from_compas_2-7,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Female,1,Less than 25,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_29+,white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,0,25 - 45,priors_count_1,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_2-3,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,1,25 - 45,priors_count_10-15,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_1,F,days_b_screening_arrest_0,juv_fel_count_1+
Male,1,25 - 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,0,Less than 25,priors_count_1,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,M,days_b_screening_arrest_0,juv_fel_count_0
Female,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Greater than 45,priors_count_10-15,juv_other_count_0,c_days_from_compas_0,non_white,juv_misd_count_0,F,days_b_screening_arrest_1+,juv_fel_count_0
Male,0,Greater than 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_4-6,juv_other_count_1,c_days_from_compas_22-28,non_white,juv_misd_count_1,F,days_b_screening_arrest_-2,juv_fel_count_0
Female,1,Less than 25,priors_count_7-9,juv_other_count_2+,c_days_from_compas_29+,non_white,juv_misd_count_1,F,days_b_screening_arrest_-1,juv_fel_count_0
Female,1,25 - 45,priors_count_7-9,juv_other_count_1,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,juv_fel_count_1+
Male,1,Greater than 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,25 - 45,priors_count_4-6,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,0,Less than 25,priors_count_1,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_0,juv_fel_count_0
Male,1,Less than 25,priors_count_0,juv_other_count_1,missing,white,cjuv_misd_count_2+,M,days_b_screening_arrest_0,juv_fel_count_0
Female,0,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,M,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,Less than 25,priors_count_2-3,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
Male,1,25 - 45,priors_count_0,juv_other_count_0,c_days_from_compas_1,non_white,juv_misd_count_0,F,days_b_screening_arrest_-1,juv_fel_count_0
