age_cat,juv_other_count_cat,juv_misd_count_cat,c_charge_degree,days_b_screening_arrest_cat,two_year_recid,c_days_from_compas_cat,priors_count_cat,race_cat,sex,juv_fel_count_cat
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,1,c_days_from_compas_1,priors_count_0,white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_10-15,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,1,c_days_from_compas_0,priors_count_2-3,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_4-6,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_2-3,non_white,Female,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_0,0,c_days_from_compas_0,priors_count_0,white,Male,juv_fel_count_0
Greater than 45,juv_other_count_1,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_15+,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_0,non_white,Female,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_0,priors_count_0,white,Male,juv_fel_count_1+
Less than 25,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_7-9,non_white,Male,juv_fel_count_1+
Less than 25,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_2-7,priors_count_0,non_white,Female,juv_fel_count_0
Less than 25,juv_other_count_1,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,1,c_days_from_compas_1,priors_count_7-9,non_white,Male,juv_fel_count_1+
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_1+,1,c_days_from_compas_22-28,priors_count_7-9,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,0,c_days_from_compas_0,priors_count_1,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-2,0,c_days_from_compas_2-7,priors_count_0,white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_1,white,Male,juv_fel_count_1+
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_1+,0,c_days_from_compas_15-21,priors_count_4-6,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_1+,1,c_days_from_compas_15-21,priors_count_2-3,non_white,Female,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_1,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_1,non_white,Male,juv_fel_count_1+
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_1,non_white,Female,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_1,F,days_b_screening_arrest_0,1,c_days_from_compas_0,priors_count_15+,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_1,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_4-6,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_2+,cjuv_misd_count_2+,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,cjuv_misd_count_2+,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_15+,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_15+,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_2-3,white,Female,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_2-3,white,Female,juv_fel_count_1+
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_lt_-3,1,c_days_from_compas_22-28,priors_count_4-6,non_white,Female,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_1,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_0,white,Male,juv_fel_count_0
25 - 45,juv_other_count_2+,juv_misd_count_1,F,days_b_screening_arrest_lt_-3,0,c_days_from_compas_8-14,priors_count_10-15,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,0,c_days_from_compas_2-7,priors_count_2-3,white,Female,juv_fel_count_1+
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_1,F,days_b_screening_arrest_lt_-3,1,c_days_from_compas_8-14,priors_count_4-6,white,Male,juv_fel_count_1+
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-2,0,c_days_from_compas_2-7,priors_count_2-3,white,Female,juv_fel_count_0
25 - 45,juv_other_count_1,juv_misd_count_0,F,days_b_screening_arrest_0,0,c_days_from_compas_8-14,priors_count_10-15,non_white,Male,juv_fel_count_1+
25 - 45,juv_other_count_1,juv_misd_count_0,M,days_b_screening_arrest_lt_-3,1,c_days_from_compas_2-7,priors_count_7-9,non_white,Female,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_15+,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_1,juv_misd_count_0,F,days_b_screening_arrest_1+,0,c_days_from_compas_29+,priors_count_1,white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_0,1,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_2-3,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_lt_-3,0,c_days_from_compas_2-7,priors_count_15+,white,Male,juv_fel_count_1+
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,1,c_days_from_compas_15-21,priors_count_7-9,white,Female,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,1,c_days_from_compas_2-7,priors_count_4-6,white,Female,juv_fel_count_0
25 - 45,juv_other_count_1,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_0,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_1,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_2-3,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,0,c_days_from_compas_0,priors_count_0,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,0,c_days_from_compas_8-14,priors_count_4-6,white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,cjuv_misd_count_2+,F,days_b_screening_arrest_-1,0,c_days_from_compas_0,priors_count_2-3,white,Male,juv_fel_count_0
25 - 45,juv_other_count_1,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_4-6,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_10-15,white,Female,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-2,1,c_days_from_compas_0,priors_count_0,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_2-7,priors_count_1,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,1,c_days_from_compas_8-14,priors_count_1,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_10-15,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_22-28,priors_count_7-9,white,Female,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_15+,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,1,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_2+,cjuv_misd_count_2+,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_7-9,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,1,c_days_from_compas_0,priors_count_4-6,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,1,c_days_from_compas_0,priors_count_7-9,white,Male,juv_fel_count_1+
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,1,c_days_from_compas_0,priors_count_2-3,white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_7-9,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_0,1,c_days_from_compas_0,priors_count_0,non_white,Female,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,0,c_days_from_compas_0,priors_count_0,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_1,cjuv_misd_count_2+,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_2+,juv_misd_count_1,F,days_b_screening_arrest_lt_-3,1,c_days_from_compas_29+,priors_count_2-3,non_white,Male,juv_fel_count_1+
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,white,Female,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_7-9,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,1,c_days_from_compas_0,priors_count_4-6,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_7-9,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_2+,juv_misd_count_1,F,days_b_screening_arrest_lt_-3,0,c_days_from_compas_29+,priors_count_1,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_1,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_10-15,white,Male,juv_fel_count_0
Less than 25,juv_other_count_2+,cjuv_misd_count_2+,F,days_b_screening_arrest_lt_-3,1,c_days_from_compas_22-28,priors_count_2-3,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,0,c_days_from_compas_2-7,priors_count_2-3,white,Female,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_1,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_10-15,non_white,Female,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_1,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,1,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_lt_-3,1,c_days_from_compas_22-28,priors_count_4-6,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_10-15,non_white,Male,juv_fel_count_1+
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_1,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,0,c_days_from_compas_15-21,priors_count_7-9,non_white,Male,juv_fel_count_1+
Less than 25,juv_other_count_1,juv_misd_count_0,F,days_b_screening_arrest_0,0,c_days_from_compas_0,priors_count_4-6,non_white,Male,juv_fel_count_1+
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_2+,juv_misd_count_1,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_1,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_lt_-3,0,c_days_from_compas_2-7,priors_count_0,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_10-15,non_white,Female,juv_fel_count_1+
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,non_white,Female,juv_fel_count_0
Less than 25,juv_other_count_1,juv_misd_count_1,M,days_b_screening_arrest_-2,0,c_days_from_compas_22-28,priors_count_1,non_white,Female,juv_fel_count_1+
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_1+,1,c_days_from_compas_0,priors_count_2-3,non_white,Female,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,1,c_days_from_compas_2-7,priors_count_2-3,white,Male,juv_fel_count_0
Less than 25,juv_other_count_1,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-2,0,c_days_from_compas_22-28,priors_count_4-6,white,Female,juv_fel_count_0
25 - 45,juv_other_count_0,cjuv_misd_count_2+,F,days_b_screening_arrest_0,1,c_days_from_compas_1,priors_count_15+,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_4-6,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_4-6,non_white,Female,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_7-9,white,Female,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_lt_-3,0,c_days_from_compas_2-7,priors_count_2-3,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,0,c_days_from_compas_1,priors_count_0,white,Female,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_1,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_10-15,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_2+,juv_misd_count_0,F,days_b_screening_arrest_-2,1,c_days_from_compas_0,priors_count_0,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_lt_-3,0,c_days_from_compas_1,priors_count_0,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-2,0,c_days_from_compas_2-7,priors_count_0,white,Female,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_0,non_white,Female,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_1,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_10-15,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-2,0,c_days_from_compas_1,priors_count_1,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_lt_-3,0,c_days_from_compas_2-7,priors_count_0,white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_2-7,priors_count_2-3,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_1,non_white,Female,juv_fel_count_1+
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_0,white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_1,non_white,Male,juv_fel_count_1+
25 - 45,juv_other_count_2+,cjuv_misd_count_2+,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_1,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_1,juv_misd_count_1,M,days_b_screening_arrest_-1,0,missing,priors_count_2-3,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_0,white,Male,juv_fel_count_0
Less than 25,juv_other_count_1,juv_misd_count_0,M,days_b_screening_arrest_0,0,c_days_from_compas_0,priors_count_0,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_1,juv_misd_count_1,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_15+,non_white,Female,juv_fel_count_1+
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_2-3,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_2-3,white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,cjuv_misd_count_2+,F,days_b_screening_arrest_0,1,c_days_from_compas_0,priors_count_1,white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-2,1,c_days_from_compas_2-7,priors_count_0,non_white,Female,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_0,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_lt_-3,0,c_days_from_compas_15-21,priors_count_10-15,white,Female,juv_fel_count_0
25 - 45,juv_other_count_1,juv_misd_count_0,F,days_b_screening_arrest_-2,0,c_days_from_compas_2-7,priors_count_0,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_7-9,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_2-3,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_1,M,days_b_screening_arrest_0,0,c_days_from_compas_0,priors_count_10-15,white,Male,juv_fel_count_0
25 - 45,juv_other_count_2+,juv_misd_count_1,F,days_b_screening_arrest_lt_-3,1,c_days_from_compas_15-21,priors_count_10-15,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_1,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_0,priors_count_0,white,Female,juv_fel_count_0
Less than 25,juv_other_count_0,cjuv_misd_count_2+,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_4-6,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_1,F,days_b_screening_arrest_0,0,c_days_from_compas_0,priors_count_4-6,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_4-6,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,1,c_days_from_compas_0,priors_count_2-3,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_0,1,c_days_from_compas_0,priors_count_1,white,Male,juv_fel_count_0
Less than 25,juv_other_count_1,juv_misd_count_1,M,days_b_screening_arrest_lt_-3,1,c_days_from_compas_29+,priors_count_1,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_2-7,priors_count_0,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,cjuv_misd_count_2+,F,days_b_screening_arrest_lt_-3,0,c_days_from_compas_2-7,priors_count_7-9,white,Male,juv_fel_count_0
25 - 45,juv_other_count_1,juv_misd_count_1,M,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_1+
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_4-6,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_15+,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_0,non_white,Female,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_1,cjuv_misd_count_2+,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_2-3,white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
25 - 45,juv_other_count_0,juv_misd_count_0,M,days_b_screening_arrest_-1,0,c_days_from_compas_1,priors_count_2-3,non_white,Male,juv_fel_count_0
Greater than 45,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_-1,1,c_days_from_compas_1,priors_count_7-9,non_white,Male,juv_fel_count_0
Less than 25,juv_other_count_1,juv_misd_count_0,F,days_b_screening_arrest_0,0,c_days_from_compas_0,priors_count_7-9,non_white,Female,juv_fel_count_1+
Less than 25,juv_other_count_0,juv_misd_count_0,F,days_b_screening_arrest_lt_-3,0,c_days_from_compas_2-7,priors_count_7-9,non_white,Male,juv_fel_count_0
