sex,juv_other_count_cat,age_cat,juv_misd_count_cat,priors_count_cat,c_charge_degree,c_days_from_compas_cat,days_b_screening_arrest_cat,race_cat,juv_fel_count_cat,two_year_recid
Male,juv_other_count_1,Greater than 45,juv_misd_count_1,priors_count_4-6,F,c_days_from_compas_1,days_b_screening_arrest_0,non_white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_15+,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_4-6,M,c_days_from_compas_2-7,days_b_screening_arrest_0,white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_10-15,M,c_days_from_compas_1,days_b_screening_arrest_lt_-3,non_white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_7-9,F,c_days_from_compas_2-7,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_2-3,M,c_days_from_compas_15-21,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_15+,F,missing,days_b_screening_arrest_0,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_1,M,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_lt_-3,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_2-3,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_29+,days_b_screening_arrest_0,non_white,juv_fel_count_0,0
Male,juv_other_count_0,Less than 25,juv_misd_count_1,priors_count_1,M,c_days_from_compas_1,days_b_screening_arrest_-2,white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_7-9,F,missing,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Male,juv_other_count_2+,25 - 45,cjuv_misd_count_2+,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_lt_-3,non_white,juv_fel_count_1+,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_0,days_b_screening_arrest_0,non_white,juv_fel_count_0,0
Female,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_10-15,M,c_days_from_compas_0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_1,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_1,F,c_days_from_compas_0,days_b_screening_arrest_0,white,juv_fel_count_0,0
Male,juv_other_count_2+,Greater than 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_0,non_white,juv_fel_count_0,0
Female,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_1,F,c_days_from_compas_15-21,days_b_screening_arrest_lt_-3,white,juv_fel_count_0,0
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_2-3,M,c_days_from_compas_8-14,days_b_screening_arrest_lt_-3,white,juv_fel_count_0,0
Female,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_10-15,F,c_days_from_compas_0,days_b_screening_arrest_0,non_white,juv_fel_count_0,1
Male,juv_other_count_2+,25 - 45,juv_misd_count_0,priors_count_1,M,c_days_from_compas_22-28,days_b_screening_arrest_-2,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_10-15,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_1+,0
Female,juv_other_count_0,Less than 25,juv_misd_count_1,priors_count_2-3,F,c_days_from_compas_22-28,days_b_screening_arrest_lt_-3,white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_15+,F,c_days_from_compas_29+,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Female,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_2-7,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_8-14,days_b_screening_arrest_0,white,juv_fel_count_0,0
Male,juv_other_count_1,25 - 45,juv_misd_count_1,priors_count_4-6,F,c_days_from_compas_1,days_b_screening_arrest_1+,white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_1,F,c_days_from_compas_2-7,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_0,days_b_screening_arrest_lt_-3,white,juv_fel_count_0,0
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_2-3,M,c_days_from_compas_22-28,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_2-3,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_15+,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_1,days_b_screening_arrest_0,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_7-9,F,c_days_from_compas_1,days_b_screening_arrest_0,white,juv_fel_count_0,0
Female,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_29+,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_1,Less than 25,juv_misd_count_1,priors_count_7-9,M,c_days_from_compas_15-21,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_1,M,c_days_from_compas_0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_10-15,M,c_days_from_compas_0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_1,F,c_days_from_compas_1,days_b_screening_arrest_0,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_7-9,M,c_days_from_compas_0,days_b_screening_arrest_lt_-3,non_white,juv_fel_count_1+,0
Female,juv_other_count_0,Less than 25,cjuv_misd_count_2+,priors_count_2-3,M,c_days_from_compas_8-14,days_b_screening_arrest_-2,white,juv_fel_count_0,0
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Female,juv_other_count_2+,25 - 45,juv_misd_count_1,priors_count_7-9,F,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_1+,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_1,days_b_screening_arrest_-2,non_white,juv_fel_count_0,0
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,M,c_days_from_compas_0,days_b_screening_arrest_-2,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_15+,F,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_1+,0
Female,juv_other_count_1,Less than 25,juv_misd_count_1,priors_count_2-3,F,c_days_from_compas_1,days_b_screening_arrest_0,white,juv_fel_count_0,0
Male,juv_other_count_2+,Less than 25,juv_misd_count_1,priors_count_2-3,F,missing,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_1,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_lt_-3,white,juv_fel_count_0,0
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_15+,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_1,days_b_screening_arrest_lt_-3,non_white,juv_fel_count_0,0
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_2-3,M,c_days_from_compas_15-21,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_2+,25 - 45,cjuv_misd_count_2+,priors_count_2-3,F,c_days_from_compas_8-14,days_b_screening_arrest_0,white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Female,juv_other_count_0,Greater than 45,juv_misd_count_1,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_1+,non_white,juv_fel_count_0,0
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_1,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_2+,Less than 25,cjuv_misd_count_2+,priors_count_15+,F,c_days_from_compas_1,days_b_screening_arrest_-2,non_white,juv_fel_count_0,1
Female,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_1,25 - 45,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_1+,white,juv_fel_count_0,1
Male,juv_other_count_1,Less than 25,juv_misd_count_0,priors_count_1,F,c_days_from_compas_15-21,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Male,juv_other_count_2+,25 - 45,juv_misd_count_0,priors_count_4-6,M,c_days_from_compas_0,days_b_screening_arrest_-2,white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_0,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_10-15,F,c_days_from_compas_0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_1,days_b_screening_arrest_0,white,juv_fel_count_0,1
Female,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_1,days_b_screening_arrest_0,white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,F,c_days_from_compas_15-21,days_b_screening_arrest_-1,non_white,juv_fel_count_1+,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,missing,days_b_screening_arrest_lt_-3,white,juv_fel_count_0,0
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_1,F,c_days_from_compas_1,days_b_screening_arrest_lt_-3,white,juv_fel_count_0,0
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_10-15,F,c_days_from_compas_1,days_b_screening_arrest_lt_-3,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_2-7,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_1,F,c_days_from_compas_0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_0,days_b_screening_arrest_0,white,juv_fel_count_0,0
Female,juv_other_count_0,Greater than 45,juv_misd_count_1,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Female,juv_other_count_1,25 - 45,cjuv_misd_count_2+,priors_count_4-6,M,c_days_from_compas_0,days_b_screening_arrest_0,non_white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_4-6,M,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Female,juv_other_count_2+,Greater than 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_15-21,days_b_screening_arrest_lt_-3,non_white,juv_fel_count_0,0
Female,juv_other_count_1,Greater than 45,juv_misd_count_1,priors_count_7-9,M,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3,white,juv_fel_count_0,0
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_15+,F,c_days_from_compas_0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Female,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_2-3,M,c_days_from_compas_1,days_b_screening_arrest_lt_-3,non_white,juv_fel_count_0,0
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_22-28,days_b_screening_arrest_0,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_1,days_b_screening_arrest_0,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_lt_-3,white,juv_fel_count_0,0
Male,juv_other_count_2+,Greater than 45,juv_misd_count_0,priors_count_0,F,missing,days_b_screening_arrest_lt_-3,white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_0,M,c_days_from_compas_0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_1,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_lt_-3,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_0,days_b_screening_arrest_0,non_white,juv_fel_count_0,1
Female,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_1,F,c_days_from_compas_0,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Female,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_0,M,missing,days_b_screening_arrest_-2,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_0,days_b_screening_arrest_-2,white,juv_fel_count_0,0
Female,juv_other_count_2+,25 - 45,juv_misd_count_1,priors_count_4-6,F,c_days_from_compas_2-7,days_b_screening_arrest_-2,white,juv_fel_count_0,0
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,F,missing,days_b_screening_arrest_0,white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_1,F,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_1,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_0,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_2-3,M,c_days_from_compas_1,days_b_screening_arrest_-2,white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_1,Greater than 45,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_8-14,days_b_screening_arrest_1+,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_22-28,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_15+,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_1+,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_0,white,juv_fel_count_0,1
Male,juv_other_count_1,25 - 45,juv_misd_count_0,priors_count_15+,F,c_days_from_compas_0,days_b_screening_arrest_-1,non_white,juv_fel_count_1+,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_15+,F,c_days_from_compas_0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_10-15,F,c_days_from_compas_0,days_b_screening_arrest_lt_-3,white,juv_fel_count_0,0
Male,juv_other_count_1,Less than 25,juv_misd_count_1,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-2,white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_0,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_1,F,c_days_from_compas_1,days_b_screening_arrest_0,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,M,c_days_from_compas_29+,days_b_screening_arrest_lt_-3,non_white,juv_fel_count_0,0
Female,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_2-7,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,cjuv_misd_count_2+,priors_count_7-9,F,c_days_from_compas_1,days_b_screening_arrest_0,non_white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_2-3,M,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Female,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,M,c_days_from_compas_22-28,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Female,juv_other_count_1,25 - 45,juv_misd_count_1,priors_count_2-3,F,c_days_from_compas_0,days_b_screening_arrest_-2,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_2-3,M,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_1,days_b_screening_arrest_0,white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_1,priors_count_10-15,M,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_1+,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_4-6,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_1+,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_2-3,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_1,priors_count_7-9,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_10-15,F,c_days_from_compas_1,days_b_screening_arrest_lt_-3,non_white,juv_fel_count_0,0
Female,juv_other_count_1,25 - 45,juv_misd_count_0,priors_count_7-9,M,c_days_from_compas_1,days_b_screening_arrest_0,non_white,juv_fel_count_0,1
Female,juv_other_count_1,25 - 45,juv_misd_count_1,priors_count_15+,M,c_days_from_compas_1,days_b_screening_arrest_lt_-3,white,juv_fel_count_1+,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_7-9,M,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_1+,1
Male,juv_other_count_1,25 - 45,cjuv_misd_count_2+,priors_count_10-15,F,c_days_from_compas_1,days_b_screening_arrest_-2,non_white,juv_fel_count_1+,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_1,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_15+,F,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_7-9,M,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_1,Greater than 45,juv_misd_count_1,priors_count_15+,F,c_days_from_compas_0,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-2,non_white,juv_fel_count_0,0
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_1,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_0,M,c_days_from_compas_0,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Female,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_7-9,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_2-3,M,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_4-6,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_1+,0
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_1,F,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_1,25 - 45,cjuv_misd_count_2+,priors_count_2-3,F,c_days_from_compas_1,days_b_screening_arrest_0,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,Less than 25,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_1,days_b_screening_arrest_0,white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_1,F,c_days_from_compas_1,days_b_screening_arrest_0,non_white,juv_fel_count_0,0
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_0,white,juv_fel_count_0,0
Male,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_2-3,F,c_days_from_compas_29+,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Female,juv_other_count_0,Greater than 45,juv_misd_count_0,priors_count_0,F,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_10-15,M,c_days_from_compas_1,days_b_screening_arrest_-1,white,juv_fel_count_0,0
Male,juv_other_count_1,25 - 45,juv_misd_count_1,priors_count_1,F,c_days_from_compas_29+,days_b_screening_arrest_-2,white,juv_fel_count_0,1
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,M,c_days_from_compas_0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Female,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,1
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_0,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
Male,juv_other_count_0,25 - 45,juv_misd_count_0,priors_count_15+,M,c_days_from_compas_1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,0
