sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and same size as original dataset lambda = 1.4,logistic_regression,0.5909 ± 0.0065,0.8211 ± 0.0218,0.6871 ± 0.0069,0.5705 ± 0.0087,0.5705 ± 0.0087,0.2439 ± 0.0338,0.7336 ± 0.0374,0.3171 ± 0.0396
HC with fairness constraints and same size as original dataset lambda = 1.4,random_forest,0.5812 ± 0.0072,0.6414 ± 0.0210,0.6097 ± 0.0109,0.5444 ± 0.0086,0.5444 ± 0.0086,0.1334 ± 0.0285,0.8069 ± 0.0369,0.1488 ± 0.0159
HC with fairness constraints and same size as original dataset lambda = 1.4,xgboost,0.5827 ± 0.0066,0.6920 ± 0.0279,0.6325 ± 0.0152,0.5499 ± 0.0099,0.5499 ± 0.0099,0.1613 ± 0.0649,0.7899 ± 0.0696,0.2014 ± 0.0631
HC with fairness constraints and same size as original dataset lambda = 1.4,mlp,0.5766 ± 0.0099,0.5839 ± 0.0352,0.5797 ± 0.0191,0.5356 ± 0.0110,0.5356 ± 0.0110,0.1508 ± 0.0321,0.7685 ± 0.0435,0.1788 ± 0.0281
HC with fairness constraints and double the size of original dataset lambda = 1.4,logistic_regression,0.5790 ± 0.0028,0.8845 ± 0.0233,0.6998 ± 0.0065,0.5577 ± 0.0037,0.5577 ± 0.0037,0.1694 ± 0.0446,0.8204 ± 0.0465,0.2225 ± 0.0454
HC with fairness constraints and double the size of original dataset lambda = 1.4,random_forest,0.5577 ± 0.0055,0.6815 ± 0.0158,0.6134 ± 0.0084,0.5176 ± 0.0074,0.5176 ± 0.0074,0.1494 ± 0.0367,0.8054 ± 0.0413,0.2091 ± 0.0406
HC with fairness constraints and double the size of original dataset lambda = 1.4,xgboost,0.5733 ± 0.0055,0.7991 ± 0.0277,0.6675 ± 0.0128,0.5440 ± 0.0089,0.5440 ± 0.0089,0.1515 ± 0.0133,0.8233 ± 0.0155,0.2067 ± 0.0380
HC with fairness constraints and double the size of original dataset lambda = 1.4,mlp,0.5539 ± 0.0098,0.6708 ± 0.0508,0.6061 ± 0.0253,0.5128 ± 0.0138,0.5128 ± 0.0138,0.0545 ± 0.0647,0.9280 ± 0.0772,0.1055 ± 0.0819
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.4,logistic_regression,0.5926 ± 0.0052,0.6530 ± 0.0251,0.6211 ± 0.0124,0.5582 ± 0.0067,0.5582 ± 0.0067,0.4312 ± 0.0508,0.5114 ± 0.0463,0.4775 ± 0.0445
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.4,random_forest,0.5775 ± 0.0080,0.6196 ± 0.0257,0.5976 ± 0.0141,0.5388 ± 0.0096,0.5388 ± 0.0096,0.1541 ± 0.0413,0.7754 ± 0.0583,0.2254 ± 0.0380
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.4,xgboost,0.5706 ± 0.0043,0.6518 ± 0.0271,0.6082 ± 0.0125,0.5327 ± 0.0055,0.5327 ± 0.0055,0.2046 ± 0.0653,0.7318 ± 0.0757,0.2308 ± 0.0572
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.4,mlp,0.5747 ± 0.0044,0.6161 ± 0.0991,0.5904 ± 0.0464,0.5349 ± 0.0040,0.5349 ± 0.0040,0.1034 ± 0.0595,0.8447 ± 0.0851,0.1427 ± 0.0601
HC with fairness constraints and equal number of protected attribute lambda = 1.4,logistic_regression,0.5926 ± 0.0052,0.6530 ± 0.0251,0.6211 ± 0.0124,0.5582 ± 0.0067,0.5582 ± 0.0067,0.4312 ± 0.0508,0.5114 ± 0.0463,0.4775 ± 0.0445
HC with fairness constraints and equal number of protected attribute lambda = 1.4,random_forest,0.5775 ± 0.0080,0.6196 ± 0.0257,0.5976 ± 0.0141,0.5388 ± 0.0096,0.5388 ± 0.0096,0.1541 ± 0.0413,0.7754 ± 0.0583,0.2254 ± 0.0380
HC with fairness constraints and equal number of protected attribute lambda = 1.4,xgboost,0.5706 ± 0.0043,0.6518 ± 0.0271,0.6082 ± 0.0125,0.5327 ± 0.0055,0.5327 ± 0.0055,0.2046 ± 0.0653,0.7318 ± 0.0757,0.2308 ± 0.0572
HC with fairness constraints and equal number of protected attribute lambda = 1.4,mlp,0.5800 ± 0.0152,0.5756 ± 0.0968,0.5739 ± 0.0530,0.5390 ± 0.0186,0.5390 ± 0.0186,0.1791 ± 0.0354,0.7224 ± 0.0685,0.2228 ± 0.0359
HC with fairness constraints and same size as original dataset lambda = 1.5,logistic_regression,0.6025 ± 0.0060,0.7860 ± 0.0055,0.6821 ± 0.0048,0.5829 ± 0.0078,0.5829 ± 0.0078,0.1502 ± 0.0270,0.8147 ± 0.0301,0.1511 ± 0.0370
HC with fairness constraints and same size as original dataset lambda = 1.5,random_forest,0.6024 ± 0.0076,0.6967 ± 0.0145,0.6460 ± 0.0072,0.5733 ± 0.0086,0.5733 ± 0.0086,0.1003 ± 0.0329,0.8575 ± 0.0415,0.1040 ± 0.0346
HC with fairness constraints and same size as original dataset lambda = 1.5,xgboost,0.5911 ± 0.0081,0.7491 ± 0.0193,0.6607 ± 0.0113,0.5648 ± 0.0117,0.5648 ± 0.0117,0.1065 ± 0.0606,0.8624 ± 0.0737,0.1125 ± 0.0606
HC with fairness constraints and same size as original dataset lambda = 1.5,mlp,0.5920 ± 0.0135,0.6863 ± 0.0368,0.6351 ± 0.0159,0.5599 ± 0.0145,0.5599 ± 0.0145,0.1133 ± 0.0825,0.8424 ± 0.1132,0.1225 ± 0.0784
HC with fairness constraints and double the size of original dataset lambda = 1.5,logistic_regression,0.6081 ± 0.0027,0.8286 ± 0.0100,0.7014 ± 0.0041,0.5951 ± 0.0039,0.5951 ± 0.0039,0.0648 ± 0.0307,0.9185 ± 0.0354,0.0963 ± 0.0358
HC with fairness constraints and double the size of original dataset lambda = 1.5,random_forest,0.5989 ± 0.0049,0.6860 ± 0.0076,0.6395 ± 0.0044,0.5683 ± 0.0057,0.5683 ± 0.0057,0.0281 ± 0.0183,0.9562 ± 0.0279,0.0505 ± 0.0203
HC with fairness constraints and double the size of original dataset lambda = 1.5,xgboost,0.6069 ± 0.0047,0.7182 ± 0.0477,0.6571 ± 0.0210,0.5810 ± 0.0080,0.5810 ± 0.0080,0.0409 ± 0.0049,0.9384 ± 0.0080,0.0625 ± 0.0275
HC with fairness constraints and double the size of original dataset lambda = 1.5,mlp,0.5905 ± 0.0251,0.6824 ± 0.0691,0.6304 ± 0.0253,0.5555 ± 0.0237,0.5555 ± 0.0237,0.0297 ± 0.0275,0.9494 ± 0.0495,0.0497 ± 0.0182
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.5,logistic_regression,0.6247 ± 0.0031,0.6717 ± 0.0077,0.6473 ± 0.0045,0.5946 ± 0.0038,0.5946 ± 0.0038,0.1671 ± 0.0144,0.7596 ± 0.0191,0.1644 ± 0.0141
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.5,random_forest,0.5950 ± 0.0090,0.5798 ± 0.0198,0.5870 ± 0.0069,0.5536 ± 0.0076,0.5536 ± 0.0076,0.1474 ± 0.0401,0.7669 ± 0.0532,0.1577 ± 0.0399
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.5,xgboost,0.6013 ± 0.0071,0.5979 ± 0.0210,0.5994 ± 0.0121,0.5619 ± 0.0078,0.5619 ± 0.0078,0.1883 ± 0.0330,0.7170 ± 0.0461,0.1962 ± 0.0381
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.5,mlp,0.6005 ± 0.0139,0.5274 ± 0.0719,0.5584 ± 0.0373,0.5527 ± 0.0095,0.5527 ± 0.0095,0.1779 ± 0.0888,0.6986 ± 0.1503,0.1921 ± 0.0913
HC with fairness constraints and equal number of protected attribute lambda = 1.5,logistic_regression,0.6247 ± 0.0031,0.6717 ± 0.0077,0.6473 ± 0.0045,0.5946 ± 0.0038,0.5946 ± 0.0038,0.1671 ± 0.0144,0.7596 ± 0.0191,0.1644 ± 0.0141
HC with fairness constraints and equal number of protected attribute lambda = 1.5,random_forest,0.5950 ± 0.0090,0.5798 ± 0.0198,0.5870 ± 0.0069,0.5536 ± 0.0076,0.5536 ± 0.0076,0.1474 ± 0.0401,0.7669 ± 0.0532,0.1577 ± 0.0399
HC with fairness constraints and equal number of protected attribute lambda = 1.5,xgboost,0.6013 ± 0.0071,0.5979 ± 0.0210,0.5994 ± 0.0121,0.5619 ± 0.0078,0.5619 ± 0.0078,0.1883 ± 0.0330,0.7170 ± 0.0461,0.1962 ± 0.0381
HC with fairness constraints and equal number of protected attribute lambda = 1.5,mlp,0.5835 ± 0.0072,0.5804 ± 0.0634,0.5801 ± 0.0311,0.5423 ± 0.0074,0.5423 ± 0.0074,0.1164 ± 0.0415,0.8099 ± 0.0655,0.1268 ± 0.0359
HC with fairness constraints and same size as original dataset lambda = 10.0,logistic_regression,0.6550 ± 0.0042,0.7283 ± 0.0121,0.6896 ± 0.0055,0.6348 ± 0.0044,0.6348 ± 0.0044,0.1300 ± 0.0130,0.8117 ± 0.0175,0.2117 ± 0.0137
HC with fairness constraints and same size as original dataset lambda = 10.0,random_forest,0.6355 ± 0.0040,0.6896 ± 0.0217,0.6613 ± 0.0103,0.6083 ± 0.0055,0.6083 ± 0.0055,0.0625 ± 0.0362,0.9032 ± 0.0504,0.1235 ± 0.0361
HC with fairness constraints and same size as original dataset lambda = 10.0,xgboost,0.6327 ± 0.0058,0.7054 ± 0.0208,0.6669 ± 0.0108,0.6078 ± 0.0077,0.6078 ± 0.0077,0.0990 ± 0.0221,0.8528 ± 0.0319,0.1760 ± 0.0298
HC with fairness constraints and same size as original dataset lambda = 10.0,mlp,0.6103 ± 0.0080,0.6970 ± 0.0317,0.6504 ± 0.0149,0.5823 ± 0.0099,0.5823 ± 0.0099,0.0811 ± 0.0301,0.8797 ± 0.0458,0.1423 ± 0.0358
HC with fairness constraints and double the size of original dataset lambda = 10.0,logistic_regression,0.6497 ± 0.0011,0.7679 ± 0.0016,0.7039 ± 0.0010,0.6364 ± 0.0012,0.6364 ± 0.0012,0.1465 ± 0.0022,0.8017 ± 0.0024,0.2126 ± 0.0044
HC with fairness constraints and double the size of original dataset lambda = 10.0,random_forest,0.6441 ± 0.0062,0.7199 ± 0.0105,0.6799 ± 0.0047,0.6221 ± 0.0060,0.6221 ± 0.0060,0.0729 ± 0.0143,0.8894 ± 0.0185,0.1296 ± 0.0248
HC with fairness constraints and double the size of original dataset lambda = 10.0,xgboost,0.6444 ± 0.0046,0.7375 ± 0.0201,0.6876 ± 0.0076,0.6253 ± 0.0040,0.6253 ± 0.0040,0.0805 ± 0.0200,0.8812 ± 0.0277,0.1597 ± 0.0295
HC with fairness constraints and double the size of original dataset lambda = 10.0,mlp,0.6434 ± 0.0103,0.7137 ± 0.0115,0.6765 ± 0.0039,0.6200 ± 0.0090,0.6200 ± 0.0090,0.0882 ± 0.0077,0.8666 ± 0.0125,0.1547 ± 0.0172
HC with fairness constraints and equal number of class 1 and class 0 lambda = 10.0,logistic_regression,0.6617 ± 0.0026,0.7265 ± 0.0145,0.6925 ± 0.0076,0.6412 ± 0.0049,0.6412 ± 0.0049,0.1738 ± 0.0282,0.7560 ± 0.0365,0.2580 ± 0.0259
HC with fairness constraints and equal number of class 1 and class 0 lambda = 10.0,random_forest,0.6408 ± 0.0034,0.6589 ± 0.0214,0.6496 ± 0.0117,0.6086 ± 0.0060,0.6086 ± 0.0060,0.0971 ± 0.0074,0.8444 ± 0.0072,0.1648 ± 0.0327
HC with fairness constraints and equal number of class 1 and class 0 lambda = 10.0,xgboost,0.6508 ± 0.0054,0.6759 ± 0.0152,0.6630 ± 0.0078,0.6210 ± 0.0058,0.6210 ± 0.0058,0.1077 ± 0.0403,0.8324 ± 0.0562,0.1606 ± 0.0362
HC with fairness constraints and equal number of class 1 and class 0 lambda = 10.0,mlp,0.6437 ± 0.0100,0.6131 ± 0.0301,0.6275 ± 0.0149,0.6033 ± 0.0092,0.6033 ± 0.0092,0.0414 ± 0.0273,0.9243 ± 0.0512,0.0828 ± 0.0390
HC with fairness constraints and equal number of protected attribute lambda = 10.0,logistic_regression,0.6617 ± 0.0026,0.7265 ± 0.0145,0.6925 ± 0.0076,0.6412 ± 0.0049,0.6412 ± 0.0049,0.1738 ± 0.0282,0.7560 ± 0.0365,0.2580 ± 0.0259
HC with fairness constraints and equal number of protected attribute lambda = 10.0,random_forest,0.6408 ± 0.0034,0.6589 ± 0.0214,0.6496 ± 0.0117,0.6086 ± 0.0060,0.6086 ± 0.0060,0.0971 ± 0.0074,0.8444 ± 0.0072,0.1648 ± 0.0327
HC with fairness constraints and equal number of protected attribute lambda = 10.0,xgboost,0.6508 ± 0.0054,0.6759 ± 0.0152,0.6630 ± 0.0078,0.6210 ± 0.0058,0.6210 ± 0.0058,0.1077 ± 0.0403,0.8324 ± 0.0562,0.1606 ± 0.0362
HC with fairness constraints and equal number of protected attribute lambda = 10.0,mlp,0.6415 ± 0.0078,0.5708 ± 0.0607,0.6020 ± 0.0303,0.5940 ± 0.0045,0.5940 ± 0.0045,0.0733 ± 0.0414,0.8628 ± 0.0726,0.1296 ± 0.0305
HC with fairness constraints and same size as original dataset lambda = 11.0,logistic_regression,0.6568 ± 0.0047,0.7152 ± 0.0155,0.6846 ± 0.0066,0.6341 ± 0.0046,0.6341 ± 0.0046,0.1271 ± 0.0271,0.8134 ± 0.0301,0.1860 ± 0.0181
HC with fairness constraints and same size as original dataset lambda = 11.0,random_forest,0.6250 ± 0.0083,0.6875 ± 0.0127,0.6547 ± 0.0087,0.5971 ± 0.0095,0.5971 ± 0.0095,0.0786 ± 0.0446,0.8822 ± 0.0643,0.1030 ± 0.0487
HC with fairness constraints and same size as original dataset lambda = 11.0,xgboost,0.6380 ± 0.0048,0.6967 ± 0.0209,0.6660 ± 0.0106,0.6121 ± 0.0067,0.6121 ± 0.0067,0.1082 ± 0.0300,0.8385 ± 0.0416,0.1257 ± 0.0252
HC with fairness constraints and same size as original dataset lambda = 11.0,mlp,0.6227 ± 0.0106,0.6839 ± 0.0296,0.6513 ± 0.0087,0.5936 ± 0.0078,0.5936 ± 0.0078,0.0873 ± 0.0696,0.8697 ± 0.1031,0.1178 ± 0.0580
HC with fairness constraints and double the size of original dataset lambda = 11.0,logistic_regression,0.6585 ± 0.0019,0.7214 ± 0.0040,0.6885 ± 0.0025,0.6370 ± 0.0023,0.6370 ± 0.0023,0.1159 ± 0.0097,0.8277 ± 0.0128,0.1566 ± 0.0090
HC with fairness constraints and double the size of original dataset lambda = 11.0,random_forest,0.6196 ± 0.0033,0.6756 ± 0.0068,0.6463 ± 0.0030,0.5898 ± 0.0032,0.5898 ± 0.0032,0.0958 ± 0.0249,0.8550 ± 0.0342,0.1550 ± 0.0227
HC with fairness constraints and double the size of original dataset lambda = 11.0,xgboost,0.6437 ± 0.0039,0.6985 ± 0.0099,0.6700 ± 0.0066,0.6181 ± 0.0056,0.6181 ± 0.0056,0.0925 ± 0.0279,0.8593 ± 0.0376,0.1268 ± 0.0268
HC with fairness constraints and double the size of original dataset lambda = 11.0,mlp,0.6204 ± 0.0043,0.6780 ± 0.0313,0.6475 ± 0.0126,0.5908 ± 0.0032,0.5908 ± 0.0032,0.0922 ± 0.0406,0.8607 ± 0.0570,0.1484 ± 0.0566
HC with fairness constraints and equal number of class 1 and class 0 lambda = 11.0,logistic_regression,0.6830 ± 0.0031,0.6589 ± 0.0153,0.6706 ± 0.0074,0.6465 ± 0.0033,0.6465 ± 0.0033,0.0752 ± 0.0090,0.8691 ± 0.0156,0.1150 ± 0.0105
HC with fairness constraints and equal number of class 1 and class 0 lambda = 11.0,random_forest,0.6429 ± 0.0049,0.6565 ± 0.0099,0.6497 ± 0.0068,0.6103 ± 0.0059,0.6103 ± 0.0059,0.0746 ± 0.0074,0.8769 ± 0.0103,0.0608 ± 0.0077
HC with fairness constraints and equal number of class 1 and class 0 lambda = 11.0,xgboost,0.6471 ± 0.0057,0.6652 ± 0.0256,0.6558 ± 0.0136,0.6157 ± 0.0079,0.6157 ± 0.0079,0.1174 ± 0.0260,0.8157 ± 0.0396,0.1131 ± 0.0286
HC with fairness constraints and equal number of class 1 and class 0 lambda = 11.0,mlp,0.6290 ± 0.0059,0.6161 ± 0.0380,0.6218 ± 0.0182,0.5906 ± 0.0053,0.5906 ± 0.0053,0.0706 ± 0.0447,0.8797 ± 0.0773,0.0834 ± 0.0408
HC with fairness constraints and equal number of protected attribute lambda = 11.0,logistic_regression,0.6830 ± 0.0031,0.6589 ± 0.0153,0.6706 ± 0.0074,0.6465 ± 0.0033,0.6465 ± 0.0033,0.0752 ± 0.0090,0.8691 ± 0.0156,0.1150 ± 0.0105
HC with fairness constraints and equal number of protected attribute lambda = 11.0,random_forest,0.6429 ± 0.0049,0.6565 ± 0.0099,0.6497 ± 0.0068,0.6103 ± 0.0059,0.6103 ± 0.0059,0.0746 ± 0.0074,0.8769 ± 0.0103,0.0608 ± 0.0077
HC with fairness constraints and equal number of protected attribute lambda = 11.0,xgboost,0.6471 ± 0.0057,0.6652 ± 0.0256,0.6558 ± 0.0136,0.6157 ± 0.0079,0.6157 ± 0.0079,0.1174 ± 0.0260,0.8157 ± 0.0396,0.1131 ± 0.0286
HC with fairness constraints and equal number of protected attribute lambda = 11.0,mlp,0.6225 ± 0.0063,0.6568 ± 0.0118,0.6391 ± 0.0061,0.5902 ± 0.0064,0.5902 ± 0.0064,0.0595 ± 0.0315,0.9048 ± 0.0465,0.0601 ± 0.0416
HC with fairness constraints and same size as original dataset lambda = 12.0,logistic_regression,0.6533 ± 0.0037,0.7717 ± 0.0043,0.7076 ± 0.0021,0.6410 ± 0.0037,0.6410 ± 0.0037,0.0921 ± 0.0066,0.8691 ± 0.0084,0.1506 ± 0.0073
HC with fairness constraints and same size as original dataset lambda = 12.0,random_forest,0.6220 ± 0.0034,0.7470 ± 0.0134,0.6788 ± 0.0070,0.6022 ± 0.0053,0.6022 ± 0.0053,0.0284 ± 0.0098,0.9578 ± 0.0142,0.0570 ± 0.0103
HC with fairness constraints and same size as original dataset lambda = 12.0,xgboost,0.6310 ± 0.0039,0.7658 ± 0.0160,0.6918 ± 0.0074,0.6151 ± 0.0056,0.6151 ± 0.0056,0.0842 ± 0.0362,0.8838 ± 0.0468,0.1157 ± 0.0308
HC with fairness constraints and same size as original dataset lambda = 12.0,mlp,0.6086 ± 0.0126,0.7723 ± 0.0594,0.6797 ± 0.0248,0.5888 ± 0.0174,0.5888 ± 0.0174,0.0409 ± 0.0262,0.9420 ± 0.0389,0.0691 ± 0.0412
HC with fairness constraints and double the size of original dataset lambda = 12.0,logistic_regression,0.6574 ± 0.0044,0.7205 ± 0.0279,0.6872 ± 0.0103,0.6355 ± 0.0017,0.6355 ± 0.0017,0.0380 ± 0.0349,0.9390 ± 0.0548,0.0792 ± 0.0330
HC with fairness constraints and double the size of original dataset lambda = 12.0,random_forest,0.6172 ± 0.0030,0.7188 ± 0.0166,0.6640 ± 0.0079,0.5928 ± 0.0046,0.5928 ± 0.0046,0.0404 ± 0.0222,0.9381 ± 0.0339,0.1033 ± 0.0261
HC with fairness constraints and double the size of original dataset lambda = 12.0,xgboost,0.6354 ± 0.0048,0.7440 ± 0.0116,0.6854 ± 0.0029,0.6167 ± 0.0037,0.6167 ± 0.0037,0.0284 ± 0.0148,0.9569 ± 0.0220,0.1025 ± 0.0138
HC with fairness constraints and double the size of original dataset lambda = 12.0,mlp,0.6114 ± 0.0109,0.7086 ± 0.0276,0.6559 ± 0.0062,0.5844 ± 0.0093,0.5844 ± 0.0093,0.0581 ± 0.0333,0.9127 ± 0.0480,0.1071 ± 0.0291
HC with fairness constraints and equal number of class 1 and class 0 lambda = 12.0,logistic_regression,0.6773 ± 0.0031,0.6577 ± 0.0084,0.6673 ± 0.0030,0.6415 ± 0.0013,0.6415 ± 0.0013,0.1399 ± 0.0094,0.7745 ± 0.0125,0.1838 ± 0.0098
HC with fairness constraints and equal number of class 1 and class 0 lambda = 12.0,random_forest,0.6219 ± 0.0072,0.6899 ± 0.0132,0.6540 ± 0.0069,0.5941 ± 0.0078,0.5941 ± 0.0078,0.1063 ± 0.0141,0.8422 ± 0.0201,0.1384 ± 0.0119
HC with fairness constraints and equal number of class 1 and class 0 lambda = 12.0,xgboost,0.6342 ± 0.0035,0.6869 ± 0.0186,0.6594 ± 0.0093,0.6066 ± 0.0051,0.6066 ± 0.0051,0.1035 ± 0.0253,0.8429 ± 0.0375,0.1428 ± 0.0307
HC with fairness constraints and equal number of class 1 and class 0 lambda = 12.0,mlp,0.6127 ± 0.0115,0.6798 ± 0.0712,0.6421 ± 0.0268,0.5815 ± 0.0067,0.5815 ± 0.0067,0.0908 ± 0.0342,0.8623 ± 0.0553,0.1222 ± 0.0394
HC with fairness constraints and equal number of protected attribute lambda = 12.0,logistic_regression,0.6773 ± 0.0031,0.6577 ± 0.0084,0.6673 ± 0.0030,0.6415 ± 0.0013,0.6415 ± 0.0013,0.1399 ± 0.0094,0.7745 ± 0.0125,0.1838 ± 0.0098
HC with fairness constraints and equal number of protected attribute lambda = 12.0,random_forest,0.6219 ± 0.0072,0.6899 ± 0.0132,0.6540 ± 0.0069,0.5941 ± 0.0078,0.5941 ± 0.0078,0.1063 ± 0.0141,0.8422 ± 0.0201,0.1384 ± 0.0119
HC with fairness constraints and equal number of protected attribute lambda = 12.0,xgboost,0.6342 ± 0.0035,0.6869 ± 0.0186,0.6594 ± 0.0093,0.6066 ± 0.0051,0.6066 ± 0.0051,0.1035 ± 0.0253,0.8429 ± 0.0375,0.1428 ± 0.0307
HC with fairness constraints and equal number of protected attribute lambda = 12.0,mlp,0.6172 ± 0.0079,0.6435 ± 0.0570,0.6286 ± 0.0248,0.5826 ± 0.0066,0.5826 ± 0.0066,0.1351 ± 0.0272,0.7919 ± 0.0495,0.1416 ± 0.0242
HC with fairness constraints and same size as original dataset lambda = 13.0,logistic_regression,0.6685 ± 0.0024,0.7807 ± 0.0092,0.7202 ± 0.0035,0.6588 ± 0.0023,0.6588 ± 0.0023,0.2046 ± 0.0161,0.7343 ± 0.0156,0.2498 ± 0.0150
HC with fairness constraints and same size as original dataset lambda = 13.0,random_forest,0.6572 ± 0.0045,0.7750 ± 0.0094,0.7112 ± 0.0018,0.6457 ± 0.0033,0.6457 ± 0.0033,0.1171 ± 0.0120,0.8372 ± 0.0149,0.1473 ± 0.0146
HC with fairness constraints and same size as original dataset lambda = 13.0,xgboost,0.6677 ± 0.0068,0.7765 ± 0.0222,0.7177 ± 0.0059,0.6569 ± 0.0032,0.6569 ± 0.0032,0.1869 ± 0.0309,0.7524 ± 0.0418,0.1959 ± 0.0379
HC with fairness constraints and same size as original dataset lambda = 13.0,mlp,0.6476 ± 0.0121,0.7774 ± 0.0443,0.7056 ± 0.0121,0.6348 ± 0.0063,0.6348 ± 0.0063,0.1132 ± 0.0463,0.8450 ± 0.0638,0.1281 ± 0.0465
HC with fairness constraints and double the size of original dataset lambda = 13.0,logistic_regression,0.6732 ± 0.0016,0.7664 ± 0.0186,0.7167 ± 0.0075,0.6608 ± 0.0032,0.6608 ± 0.0032,0.1714 ± 0.0149,0.7656 ± 0.0202,0.2553 ± 0.0105
HC with fairness constraints and double the size of original dataset lambda = 13.0,random_forest,0.6687 ± 0.0046,0.7812 ± 0.0013,0.7206 ± 0.0027,0.6591 ± 0.0048,0.6591 ± 0.0048,0.1078 ± 0.0179,0.8478 ± 0.0234,0.1801 ± 0.0171
HC with fairness constraints and double the size of original dataset lambda = 13.0,xgboost,0.6690 ± 0.0043,0.7946 ± 0.0105,0.7264 ± 0.0045,0.6623 ± 0.0045,0.6623 ± 0.0045,0.1394 ± 0.0172,0.8113 ± 0.0201,0.2074 ± 0.0206
HC with fairness constraints and double the size of original dataset lambda = 13.0,mlp,0.6610 ± 0.0092,0.7920 ± 0.0206,0.7203 ± 0.0041,0.6527 ± 0.0069,0.6527 ± 0.0069,0.1252 ± 0.0251,0.8295 ± 0.0331,0.1908 ± 0.0279
HC with fairness constraints and equal number of class 1 and class 0 lambda = 13.0,logistic_regression,0.6926 ± 0.0027,0.7182 ± 0.0041,0.7051 ± 0.0016,0.6685 ± 0.0020,0.6685 ± 0.0020,0.1577 ± 0.0047,0.7637 ± 0.0055,0.2324 ± 0.0050
HC with fairness constraints and equal number of class 1 and class 0 lambda = 13.0,random_forest,0.6746 ± 0.0044,0.7033 ± 0.0200,0.6885 ± 0.0105,0.6488 ± 0.0064,0.6488 ± 0.0064,0.1295 ± 0.0412,0.8028 ± 0.0588,0.1770 ± 0.0380
HC with fairness constraints and equal number of class 1 and class 0 lambda = 13.0,xgboost,0.6837 ± 0.0015,0.7173 ± 0.0303,0.6998 ± 0.0141,0.6602 ± 0.0064,0.6602 ± 0.0064,0.1640 ± 0.0234,0.7585 ± 0.0304,0.2168 ± 0.0334
HC with fairness constraints and equal number of class 1 and class 0 lambda = 13.0,mlp,0.6649 ± 0.0118,0.6949 ± 0.0500,0.6784 ± 0.0194,0.6373 ± 0.0081,0.6373 ± 0.0081,0.1326 ± 0.0531,0.8003 ± 0.0737,0.1680 ± 0.0366
HC with fairness constraints and equal number of protected attribute lambda = 13.0,logistic_regression,0.6926 ± 0.0027,0.7182 ± 0.0041,0.7051 ± 0.0016,0.6685 ± 0.0020,0.6685 ± 0.0020,0.1577 ± 0.0047,0.7637 ± 0.0055,0.2324 ± 0.0050
HC with fairness constraints and equal number of protected attribute lambda = 13.0,random_forest,0.6746 ± 0.0044,0.7033 ± 0.0200,0.6885 ± 0.0105,0.6488 ± 0.0064,0.6488 ± 0.0064,0.1295 ± 0.0412,0.8028 ± 0.0588,0.1770 ± 0.0380
HC with fairness constraints and equal number of protected attribute lambda = 13.0,xgboost,0.6837 ± 0.0015,0.7173 ± 0.0303,0.6998 ± 0.0141,0.6602 ± 0.0064,0.6602 ± 0.0064,0.1640 ± 0.0234,0.7585 ± 0.0304,0.2168 ± 0.0334
HC with fairness constraints and equal number of protected attribute lambda = 13.0,mlp,0.6672 ± 0.0094,0.6813 ± 0.0355,0.6736 ± 0.0169,0.6372 ± 0.0099,0.6372 ± 0.0099,0.1100 ± 0.0302,0.8242 ± 0.0494,0.1364 ± 0.0165
HC with fairness constraints and same size as original dataset lambda = 14.0,logistic_regression,0.6674 ± 0.0056,0.7494 ± 0.0190,0.7058 ± 0.0056,0.6512 ± 0.0025,0.6512 ± 0.0025,0.1577 ± 0.0322,0.7798 ± 0.0414,0.1911 ± 0.0304
HC with fairness constraints and same size as original dataset lambda = 14.0,random_forest,0.6293 ± 0.0080,0.7080 ± 0.0196,0.6662 ± 0.0102,0.6046 ± 0.0093,0.6046 ± 0.0093,0.1203 ± 0.0194,0.8265 ± 0.0235,0.1384 ± 0.0408
HC with fairness constraints and same size as original dataset lambda = 14.0,xgboost,0.6345 ± 0.0121,0.7405 ± 0.0124,0.6834 ± 0.0103,0.6151 ± 0.0143,0.6151 ± 0.0143,0.1366 ± 0.0220,0.8120 ± 0.0267,0.1653 ± 0.0467
HC with fairness constraints and same size as original dataset lambda = 14.0,mlp,0.6231 ± 0.0201,0.6866 ± 0.1081,0.6477 ± 0.0405,0.5915 ± 0.0118,0.5915 ± 0.0118,0.1214 ± 0.0744,0.8282 ± 0.1102,0.1555 ± 0.0744
HC with fairness constraints and double the size of original dataset lambda = 14.0,logistic_regression,0.6439 ± 0.0021,0.7673 ± 0.0242,0.7000 ± 0.0095,0.6299 ± 0.0035,0.6299 ± 0.0035,0.0348 ± 0.0224,0.9483 ± 0.0336,0.0797 ± 0.0272
