sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and same size as original dataset lambda = 0.6,mlp,0.9059 ± 0.0114,0.9165 ± 0.0188,0.9110 ± 0.0085,0.9538 ± 0.0091,0.9538 ± 0.0091,0.0391 ± 0.0092,0.5796 ± 0.0959,0.0513 ± 0.0208
HC with fairness constraints and double the size of original dataset lambda = 0.6,logistic_regression,0.8937 ± 0.0009,0.9602 ± 0.0000,0.9258 ± 0.0005,0.9748 ± 0.0001,0.9748 ± 0.0001,0.0432 ± 0.0006,0.5629 ± 0.0064,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.6,random_forest,0.9086 ± 0.0042,0.8983 ± 0.0011,0.9034 ± 0.0025,0.9449 ± 0.0007,0.9449 ± 0.0007,0.0349 ± 0.0056,0.6137 ± 0.0592,0.0322 ± 0.0174
HC with fairness constraints and double the size of original dataset lambda = 0.6,xgboost,0.9210 ± 0.0026,0.9011 ± 0.0021,0.9110 ± 0.0015,0.9469 ± 0.0010,0.9469 ± 0.0010,0.0346 ± 0.0034,0.6128 ± 0.0363,0.0806 ± 0.0341
HC with fairness constraints and double the size of original dataset lambda = 0.6,mlp,0.9094 ± 0.0132,0.8960 ± 0.0176,0.9024 ± 0.0039,0.9438 ± 0.0081,0.9438 ± 0.0081,0.0346 ± 0.0035,0.6144 ± 0.0464,0.0396 ± 0.0213
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.6,logistic_regression,0.7207 ± 0.0074,0.9631 ± 0.0000,0.8244 ± 0.0049,0.9640 ± 0.0006,0.9640 ± 0.0006,0.0397 ± 0.0035,0.7324 ± 0.0165,0.0933 ± 0.0036
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.6,random_forest,0.6370 ± 0.0108,0.9773 ± 0.0044,0.7712 ± 0.0070,0.9625 ± 0.0014,0.9625 ± 0.0014,0.0428 ± 0.0121,0.7483 ± 0.0545,0.0970 ± 0.0125
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.6,xgboost,0.6638 ± 0.0079,0.9790 ± 0.0053,0.7911 ± 0.0043,0.9662 ± 0.0019,0.9662 ± 0.0019,0.0242 ± 0.0088,0.8381 ± 0.0518,0.0779 ± 0.0090
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.6,mlp,0.6729 ± 0.0270,0.9693 ± 0.0075,0.7939 ± 0.0163,0.9624 ± 0.0016,0.9624 ± 0.0016,0.0296 ± 0.0121,0.8078 ± 0.0665,0.0828 ± 0.0131
HC with fairness constraints and equal number of protected attribute lambda = 0.6,logistic_regression,0.7207 ± 0.0074,0.9631 ± 0.0000,0.8244 ± 0.0049,0.9640 ± 0.0006,0.9640 ± 0.0006,0.0397 ± 0.0035,0.7324 ± 0.0165,0.0933 ± 0.0036
HC with fairness constraints and equal number of protected attribute lambda = 0.6,random_forest,0.6370 ± 0.0108,0.9773 ± 0.0044,0.7712 ± 0.0070,0.9625 ± 0.0014,0.9625 ± 0.0014,0.0428 ± 0.0121,0.7483 ± 0.0545,0.0970 ± 0.0125
HC with fairness constraints and equal number of protected attribute lambda = 0.6,xgboost,0.6638 ± 0.0079,0.9790 ± 0.0053,0.7911 ± 0.0043,0.9662 ± 0.0019,0.9662 ± 0.0019,0.0242 ± 0.0088,0.8381 ± 0.0518,0.0779 ± 0.0090
HC with fairness constraints and equal number of protected attribute lambda = 0.6,mlp,0.6198 ± 0.0257,0.9773 ± 0.0036,0.7582 ± 0.0186,0.9604 ± 0.0026,0.9604 ± 0.0026,0.0509 ± 0.0123,0.7180 ± 0.0487,0.1053 ± 0.0126
HC with fairness constraints and same size as original dataset lambda = 0.7,logistic_regression,0.8980 ± 0.0012,0.9602 ± 0.0000,0.9281 ± 0.0006,0.9750 ± 0.0001,0.9750 ± 0.0001,0.0442 ± 0.0008,0.5517 ± 0.0079,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 0.7,random_forest,0.8880 ± 0.0022,0.9551 ± 0.0055,0.9203 ± 0.0027,0.9719 ± 0.0027,0.9719 ± 0.0027,0.0407 ± 0.0024,0.5870 ± 0.0242,0.0403 ± 0.0153
HC with fairness constraints and same size as original dataset lambda = 0.7,xgboost,0.8943 ± 0.0040,0.9568 ± 0.0055,0.9245 ± 0.0039,0.9731 ± 0.0028,0.9731 ± 0.0028,0.0438 ± 0.0027,0.5550 ± 0.0257,0.0465 ± 0.0059
HC with fairness constraints and same size as original dataset lambda = 0.7,mlp,0.8848 ± 0.0026,0.9557 ± 0.0053,0.9189 ± 0.0034,0.9720 ± 0.0027,0.9720 ± 0.0027,0.0404 ± 0.0036,0.5915 ± 0.0342,0.0389 ± 0.0145
HC with fairness constraints and double the size of original dataset lambda = 0.7,logistic_regression,0.8909 ± 0.0046,0.9602 ± 0.0000,0.9243 ± 0.0025,0.9746 ± 0.0003,0.9746 ± 0.0003,0.0398 ± 0.0029,0.5963 ± 0.0293,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.7,random_forest,0.8731 ± 0.0050,0.9574 ± 0.0000,0.9133 ± 0.0027,0.9722 ± 0.0003,0.9722 ± 0.0003,0.0294 ± 0.0034,0.7021 ± 0.0344,0.0459 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.7,xgboost,0.8786 ± 0.0043,0.9540 ± 0.0011,0.9147 ± 0.0026,0.9708 ± 0.0007,0.9708 ± 0.0007,0.0346 ± 0.0028,0.6483 ± 0.0283,0.0235 ± 0.0130
HC with fairness constraints and double the size of original dataset lambda = 0.7,mlp,0.8633 ± 0.0096,0.9568 ± 0.0011,0.9076 ± 0.0050,0.9713 ± 0.0005,0.9713 ± 0.0005,0.0239 ± 0.0060,0.7583 ± 0.0610,0.0442 ± 0.0051
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.7,logistic_regression,0.7008 ± 0.0086,0.9602 ± 0.0000,0.8102 ± 0.0058,0.9609 ± 0.0008,0.9609 ± 0.0008,0.0516 ± 0.0084,0.6817 ± 0.0343,0.1052 ± 0.0087
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.7,random_forest,0.6620 ± 0.0061,0.9602 ± 0.0000,0.7837 ± 0.0043,0.9571 ± 0.0006,0.9571 ± 0.0006,0.0573 ± 0.0083,0.6701 ± 0.0330,0.1108 ± 0.0087
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.7,xgboost,0.6886 ± 0.0130,0.9602 ± 0.0000,0.8020 ± 0.0088,0.9597 ± 0.0012,0.9597 ± 0.0012,0.0379 ± 0.0124,0.7555 ± 0.0681,0.0907 ± 0.0129
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.7,mlp,0.6610 ± 0.0246,0.9602 ± 0.0000,0.7828 ± 0.0170,0.9569 ± 0.0024,0.9569 ± 0.0024,0.0617 ± 0.0096,0.6533 ± 0.0315,0.1154 ± 0.0098
HC with fairness constraints and equal number of protected attribute lambda = 0.7,logistic_regression,0.7008 ± 0.0086,0.9602 ± 0.0000,0.8102 ± 0.0058,0.9609 ± 0.0008,0.9609 ± 0.0008,0.0516 ± 0.0084,0.6817 ± 0.0343,0.1052 ± 0.0087
HC with fairness constraints and equal number of protected attribute lambda = 0.7,random_forest,0.6620 ± 0.0061,0.9602 ± 0.0000,0.7837 ± 0.0043,0.9571 ± 0.0006,0.9571 ± 0.0006,0.0573 ± 0.0083,0.6701 ± 0.0330,0.1108 ± 0.0087
HC with fairness constraints and equal number of protected attribute lambda = 0.7,xgboost,0.6886 ± 0.0130,0.9602 ± 0.0000,0.8020 ± 0.0088,0.9597 ± 0.0012,0.9597 ± 0.0012,0.0379 ± 0.0124,0.7555 ± 0.0681,0.0907 ± 0.0129
HC with fairness constraints and equal number of protected attribute lambda = 0.7,mlp,0.6677 ± 0.0180,0.9602 ± 0.0000,0.7875 ± 0.0124,0.9577 ± 0.0018,0.9577 ± 0.0018,0.0562 ± 0.0112,0.6745 ± 0.0437,0.1097 ± 0.0116
HC with fairness constraints and same size as original dataset lambda = 0.8,logistic_regression,0.8994 ± 0.0018,0.9602 ± 0.0000,0.9288 ± 0.0010,0.9751 ± 0.0001,0.9751 ± 0.0001,0.0455 ± 0.0007,0.5386 ± 0.0076,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 0.8,random_forest,0.8915 ± 0.0111,0.9364 ± 0.0050,0.9133 ± 0.0050,0.9628 ± 0.0022,0.9628 ± 0.0022,0.0374 ± 0.0050,0.6095 ± 0.0542,0.0163 ± 0.0041
HC with fairness constraints and same size as original dataset lambda = 0.8,xgboost,0.9080 ± 0.0039,0.9364 ± 0.0023,0.9220 ± 0.0029,0.9637 ± 0.0013,0.9637 ± 0.0013,0.0433 ± 0.0027,0.5449 ± 0.0277,0.0231 ± 0.0043
HC with fairness constraints and same size as original dataset lambda = 0.8,mlp,0.8856 ± 0.0087,0.9313 ± 0.0045,0.9078 ± 0.0030,0.9600 ± 0.0019,0.9600 ± 0.0019,0.0353 ± 0.0058,0.6311 ± 0.0602,0.0585 ± 0.0317
HC with fairness constraints and double the size of original dataset lambda = 0.8,logistic_regression,0.8947 ± 0.0009,0.9602 ± 0.0000,0.9263 ± 0.0005,0.9748 ± 0.0001,0.9748 ± 0.0001,0.0419 ± 0.0006,0.5742 ± 0.0064,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.8,random_forest,0.8999 ± 0.0095,0.9290 ± 0.0044,0.9142 ± 0.0065,0.9596 ± 0.0026,0.9596 ± 0.0026,0.0374 ± 0.0028,0.6031 ± 0.0306,0.0240 ± 0.0080
HC with fairness constraints and double the size of original dataset lambda = 0.8,xgboost,0.9093 ± 0.0053,0.9284 ± 0.0042,0.9188 ± 0.0037,0.9599 ± 0.0021,0.9599 ± 0.0021,0.0408 ± 0.0016,0.5657 ± 0.0169,0.0190 ± 0.0139
HC with fairness constraints and double the size of original dataset lambda = 0.8,mlp,0.8891 ± 0.0089,0.9324 ± 0.0049,0.9102 ± 0.0036,0.9607 ± 0.0021,0.9607 ± 0.0021,0.0301 ± 0.0082,0.6815 ± 0.0862,0.0455 ± 0.0214
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.8,logistic_regression,0.7803 ± 0.0058,0.9602 ± 0.0000,0.8609 ± 0.0035,0.9674 ± 0.0004,0.9674 ± 0.0004,0.0153 ± 0.0050,0.8723 ± 0.0365,0.0679 ± 0.0053
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.8,random_forest,0.6830 ± 0.0158,0.9631 ± 0.0000,0.7991 ± 0.0108,0.9605 ± 0.0015,0.9605 ± 0.0015,0.0579 ± 0.0129,0.6629 ± 0.0522,0.1120 ± 0.0134
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.8,xgboost,0.7022 ± 0.0144,0.9631 ± 0.0000,0.8121 ± 0.0096,0.9623 ± 0.0013,0.9623 ± 0.0013,0.0394 ± 0.0135,0.7455 ± 0.0762,0.0928 ± 0.0141
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.8,mlp,0.6603 ± 0.0208,0.9642 ± 0.0039,0.7836 ± 0.0139,0.9588 ± 0.0015,0.9588 ± 0.0015,0.0651 ± 0.0051,0.6396 ± 0.0196,0.1194 ± 0.0052
HC with fairness constraints and equal number of protected attribute lambda = 0.8,logistic_regression,0.7803 ± 0.0058,0.9602 ± 0.0000,0.8609 ± 0.0035,0.9674 ± 0.0004,0.9674 ± 0.0004,0.0153 ± 0.0050,0.8723 ± 0.0365,0.0679 ± 0.0053
HC with fairness constraints and equal number of protected attribute lambda = 0.8,random_forest,0.6830 ± 0.0158,0.9631 ± 0.0000,0.7991 ± 0.0108,0.9605 ± 0.0015,0.9605 ± 0.0015,0.0579 ± 0.0129,0.6629 ± 0.0522,0.1120 ± 0.0134
HC with fairness constraints and equal number of protected attribute lambda = 0.8,xgboost,0.7022 ± 0.0144,0.9631 ± 0.0000,0.8121 ± 0.0096,0.9623 ± 0.0013,0.9623 ± 0.0013,0.0394 ± 0.0135,0.7455 ± 0.0762,0.0928 ± 0.0141
HC with fairness constraints and equal number of protected attribute lambda = 0.8,mlp,0.6644 ± 0.0214,0.9665 ± 0.0068,0.7872 ± 0.0140,0.9603 ± 0.0029,0.9603 ± 0.0029,0.0616 ± 0.0149,0.6560 ± 0.0643,0.1159 ± 0.0151
HC with fairness constraints and same size as original dataset lambda = 0.9,logistic_regression,0.8839 ± 0.0018,0.9602 ± 0.0000,0.9205 ± 0.0010,0.9742 ± 0.0001,0.9742 ± 0.0001,0.0369 ± 0.0005,0.6265 ± 0.0057,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 0.9,random_forest,0.8792 ± 0.0060,0.9301 ± 0.0034,0.9039 ± 0.0041,0.9591 ± 0.0019,0.9591 ± 0.0019,0.0464 ± 0.0049,0.5265 ± 0.0475,0.0712 ± 0.0332
HC with fairness constraints and same size as original dataset lambda = 0.9,xgboost,0.8829 ± 0.0035,0.9341 ± 0.0021,0.9078 ± 0.0021,0.9612 ± 0.0011,0.9612 ± 0.0011,0.0479 ± 0.0017,0.5121 ± 0.0181,0.0754 ± 0.0333
HC with fairness constraints and same size as original dataset lambda = 0.9,mlp,0.8637 ± 0.0072,0.9352 ± 0.0073,0.8980 ± 0.0038,0.9607 ± 0.0034,0.9607 ± 0.0034,0.0392 ± 0.0056,0.6037 ± 0.0573,0.0853 ± 0.0385
HC with fairness constraints and double the size of original dataset lambda = 0.9,logistic_regression,0.8871 ± 0.0025,0.9602 ± 0.0000,0.9222 ± 0.0014,0.9744 ± 0.0001,0.9744 ± 0.0001,0.0376 ± 0.0007,0.6183 ± 0.0074,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.9,random_forest,0.8881 ± 0.0073,0.9375 ± 0.0031,0.9121 ± 0.0033,0.9632 ± 0.0014,0.9632 ± 0.0014,0.0488 ± 0.0063,0.5028 ± 0.0636,0.1136 ± 0.0471
HC with fairness constraints and double the size of original dataset lambda = 0.9,xgboost,0.8963 ± 0.0053,0.9375 ± 0.0031,0.9164 ± 0.0036,0.9637 ± 0.0017,0.9637 ± 0.0017,0.0519 ± 0.0023,0.4689 ± 0.0230,0.1136 ± 0.0391
HC with fairness constraints and double the size of original dataset lambda = 0.9,mlp,0.8836 ± 0.0060,0.9352 ± 0.0033,0.9086 ± 0.0033,0.9618 ± 0.0016,0.9618 ± 0.0016,0.0449 ± 0.0074,0.5404 ± 0.0736,0.1370 ± 0.0466
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.9,logistic_regression,0.6882 ± 0.0052,0.9602 ± 0.0000,0.8017 ± 0.0036,0.9597 ± 0.0005,0.9597 ± 0.0005,0.1073 ± 0.0059,0.4904 ± 0.0135,0.1637 ± 0.0062
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.9,random_forest,0.6622 ± 0.0143,0.9619 ± 0.0014,0.7843 ± 0.0098,0.9579 ± 0.0013,0.9579 ± 0.0013,0.0869 ± 0.0192,0.5668 ± 0.0567,0.1420 ± 0.0200
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.9,xgboost,0.6748 ± 0.0177,0.9625 ± 0.0011,0.7933 ± 0.0123,0.9595 ± 0.0018,0.9595 ± 0.0018,0.0742 ± 0.0244,0.6102 ± 0.0886,0.1289 ± 0.0255
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.9,mlp,0.6568 ± 0.0303,0.9619 ± 0.0014,0.7802 ± 0.0212,0.9573 ± 0.0032,0.9573 ± 0.0032,0.0839 ± 0.0223,0.5826 ± 0.0761,0.1389 ± 0.0231
HC with fairness constraints and equal number of protected attribute lambda = 0.9,logistic_regression,0.6882 ± 0.0052,0.9602 ± 0.0000,0.8017 ± 0.0036,0.9597 ± 0.0005,0.9597 ± 0.0005,0.1073 ± 0.0059,0.4904 ± 0.0135,0.1637 ± 0.0062
HC with fairness constraints and equal number of protected attribute lambda = 0.9,random_forest,0.6622 ± 0.0143,0.9619 ± 0.0014,0.7843 ± 0.0098,0.9579 ± 0.0013,0.9579 ± 0.0013,0.0869 ± 0.0192,0.5668 ± 0.0567,0.1420 ± 0.0200
HC with fairness constraints and equal number of protected attribute lambda = 0.9,xgboost,0.6748 ± 0.0177,0.9625 ± 0.0011,0.7933 ± 0.0123,0.9595 ± 0.0018,0.9595 ± 0.0018,0.0742 ± 0.0244,0.6102 ± 0.0886,0.1289 ± 0.0255
HC with fairness constraints and equal number of protected attribute lambda = 0.9,mlp,0.6675 ± 0.0335,0.9614 ± 0.0014,0.7875 ± 0.0238,0.9581 ± 0.0040,0.9581 ± 0.0040,0.0912 ± 0.0279,0.5570 ± 0.0772,0.1466 ± 0.0288
HC with fairness constraints and same size as original dataset lambda = 1.0,logistic_regression,0.8895 ± 0.0039,0.9602 ± 0.0000,0.9235 ± 0.0021,0.9745 ± 0.0002,0.9745 ± 0.0002,0.0385 ± 0.0026,0.6094 ± 0.0268,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 1.0,random_forest,0.9084 ± 0.0084,0.9165 ± 0.0104,0.9123 ± 0.0026,0.9539 ± 0.0048,0.9539 ± 0.0048,0.0437 ± 0.0030,0.5316 ± 0.0360,0.0327 ± 0.0132
HC with fairness constraints and same size as original dataset lambda = 1.0,xgboost,0.9177 ± 0.0100,0.9165 ± 0.0123,0.9170 ± 0.0039,0.9544 ± 0.0057,0.9544 ± 0.0057,0.0471 ± 0.0044,0.4930 ± 0.0465,0.0416 ± 0.0225
HC with fairness constraints and same size as original dataset lambda = 1.0,mlp,0.8934 ± 0.0100,0.9216 ± 0.0127,0.9071 ± 0.0027,0.9556 ± 0.0058,0.9556 ± 0.0058,0.0370 ± 0.0029,0.6069 ± 0.0339,0.0240 ± 0.0134
HC with fairness constraints and double the size of original dataset lambda = 1.0,logistic_regression,0.8867 ± 0.0023,0.9602 ± 0.0000,0.9220 ± 0.0012,0.9744 ± 0.0001,0.9744 ± 0.0001,0.0381 ± 0.0012,0.6144 ± 0.0126,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 1.0,random_forest,0.9261 ± 0.0064,0.9256 ± 0.0045,0.9258 ± 0.0036,0.9593 ± 0.0022,0.9593 ± 0.0022,0.0524 ± 0.0006,0.4413 ± 0.0097,0.0491 ± 0.0277
HC with fairness constraints and double the size of original dataset lambda = 1.0,xgboost,0.9298 ± 0.0024,0.9261 ± 0.0065,0.9280 ± 0.0040,0.9598 ± 0.0033,0.9598 ± 0.0033,0.0554 ± 0.0011,0.4103 ± 0.0124,0.0583 ± 0.0258
HC with fairness constraints and double the size of original dataset lambda = 1.0,mlp,0.9245 ± 0.0053,0.9250 ± 0.0084,0.9247 ± 0.0035,0.9590 ± 0.0040,0.9590 ± 0.0040,0.0525 ± 0.0021,0.4406 ± 0.0257,0.0829 ± 0.0347
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.0,logistic_regression,0.7021 ± 0.0038,0.9602 ± 0.0000,0.8111 ± 0.0025,0.9610 ± 0.0003,0.9610 ± 0.0003,0.0922 ± 0.0041,0.5280 ± 0.0112,0.1479 ± 0.0042
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.0,random_forest,0.6672 ± 0.0078,0.9642 ± 0.0050,0.7886 ± 0.0044,0.9595 ± 0.0019,0.9595 ± 0.0019,0.0754 ± 0.0093,0.5998 ± 0.0333,0.1302 ± 0.0094
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.0,xgboost,0.6972 ± 0.0176,0.9631 ± 0.0048,0.8087 ± 0.0107,0.9619 ± 0.0016,0.9619 ± 0.0016,0.0448 ± 0.0144,0.7190 ± 0.0652,0.0983 ± 0.0149
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.0,mlp,0.6495 ± 0.0117,0.9653 ± 0.0055,0.7764 ± 0.0066,0.9582 ± 0.0015,0.9582 ± 0.0015,0.0853 ± 0.0061,0.5729 ± 0.0247,0.1406 ± 0.0062
HC with fairness constraints and equal number of protected attribute lambda = 1.0,logistic_regression,0.7021 ± 0.0038,0.9602 ± 0.0000,0.8111 ± 0.0025,0.9610 ± 0.0003,0.9610 ± 0.0003,0.0922 ± 0.0041,0.5280 ± 0.0112,0.1479 ± 0.0042
HC with fairness constraints and equal number of protected attribute lambda = 1.0,random_forest,0.6672 ± 0.0078,0.9642 ± 0.0050,0.7886 ± 0.0044,0.9595 ± 0.0019,0.9595 ± 0.0019,0.0754 ± 0.0093,0.5998 ± 0.0333,0.1302 ± 0.0094
HC with fairness constraints and equal number of protected attribute lambda = 1.0,xgboost,0.6972 ± 0.0176,0.9631 ± 0.0048,0.8087 ± 0.0107,0.9619 ± 0.0016,0.9619 ± 0.0016,0.0448 ± 0.0144,0.7190 ± 0.0652,0.0983 ± 0.0149
HC with fairness constraints and equal number of protected attribute lambda = 1.0,mlp,0.6546 ± 0.0351,0.9653 ± 0.0068,0.7796 ± 0.0241,0.9586 ± 0.0041,0.9586 ± 0.0041,0.0832 ± 0.0378,0.5969 ± 0.1021,0.1384 ± 0.0392
HC with fairness constraints and same size as original dataset lambda = 1.1,logistic_regression,0.9037 ± 0.0000,0.9602 ± 0.0000,0.9311 ± 0.0000,0.9753 ± 0.0000,0.9753 ± 0.0000,0.0479 ± 0.0000,0.5132 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 1.1,random_forest,0.8869 ± 0.0034,0.9489 ± 0.0054,0.9168 ± 0.0020,0.9688 ± 0.0025,0.9688 ± 0.0025,0.0506 ± 0.0061,0.4921 ± 0.0603,0.1200 ± 0.0715
HC with fairness constraints and same size as original dataset lambda = 1.1,xgboost,0.9023 ± 0.0057,0.9489 ± 0.0018,0.9250 ± 0.0024,0.9696 ± 0.0007,0.9696 ± 0.0007,0.0562 ± 0.0039,0.4315 ± 0.0401,0.1172 ± 0.0253
HC with fairness constraints and same size as original dataset lambda = 1.1,mlp,0.8876 ± 0.0083,0.9455 ± 0.0045,0.9156 ± 0.0027,0.9671 ± 0.0018,0.9671 ± 0.0018,0.0527 ± 0.0074,0.4700 ± 0.0749,0.1652 ± 0.0640
HC with fairness constraints and double the size of original dataset lambda = 1.1,logistic_regression,0.8999 ± 0.0012,0.9602 ± 0.0000,0.9291 ± 0.0006,0.9751 ± 0.0001,0.9751 ± 0.0001,0.0454 ± 0.0008,0.5389 ± 0.0079,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 1.1,random_forest,0.8902 ± 0.0025,0.9585 ± 0.0034,0.9231 ± 0.0024,0.9737 ± 0.0017,0.9737 ± 0.0017,0.0427 ± 0.0035,0.5687 ± 0.0340,0.0497 ± 0.0137
HC with fairness constraints and double the size of original dataset lambda = 1.1,xgboost,0.8956 ± 0.0028,0.9602 ± 0.0000,0.9268 ± 0.0015,0.9749 ± 0.0002,0.9749 ± 0.0002,0.0426 ± 0.0019,0.5677 ± 0.0192,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 1.1,mlp,0.8865 ± 0.0066,0.9580 ± 0.0033,0.9208 ± 0.0049,0.9732 ± 0.0020,0.9732 ± 0.0020,0.0412 ± 0.0023,0.5840 ± 0.0224,0.0432 ± 0.0212
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.1,logistic_regression,0.8067 ± 0.0032,0.9602 ± 0.0000,0.8768 ± 0.0019,0.9693 ± 0.0002,0.9693 ± 0.0002,0.0168 ± 0.0031,0.8561 ± 0.0225,0.0696 ± 0.0032
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.1,random_forest,0.6926 ± 0.0118,0.9631 ± 0.0000,0.8057 ± 0.0079,0.9615 ± 0.0011,0.9615 ± 0.0011,0.0615 ± 0.0137,0.6452 ± 0.0532,0.1158 ± 0.0143
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.1,xgboost,0.7502 ± 0.0092,0.9602 ± 0.0000,0.8423 ± 0.0058,0.9651 ± 0.0007,0.9651 ± 0.0007,0.0301 ± 0.0078,0.7799 ± 0.0472,0.0831 ± 0.0081
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.1,mlp,0.7201 ± 0.0292,0.9619 ± 0.0014,0.8233 ± 0.0189,0.9633 ± 0.0023,0.9633 ± 0.0023,0.0429 ± 0.0193,0.7282 ± 0.0889,0.0965 ± 0.0200
HC with fairness constraints and equal number of protected attribute lambda = 1.1,logistic_regression,0.8067 ± 0.0032,0.9602 ± 0.0000,0.8768 ± 0.0019,0.9693 ± 0.0002,0.9693 ± 0.0002,0.0168 ± 0.0031,0.8561 ± 0.0225,0.0696 ± 0.0032
HC with fairness constraints and equal number of protected attribute lambda = 1.1,random_forest,0.6926 ± 0.0118,0.9631 ± 0.0000,0.8057 ± 0.0079,0.9615 ± 0.0011,0.9615 ± 0.0011,0.0615 ± 0.0137,0.6452 ± 0.0532,0.1158 ± 0.0143
HC with fairness constraints and equal number of protected attribute lambda = 1.1,xgboost,0.7502 ± 0.0092,0.9602 ± 0.0000,0.8423 ± 0.0058,0.9651 ± 0.0007,0.9651 ± 0.0007,0.0301 ± 0.0078,0.7799 ± 0.0472,0.0831 ± 0.0081
HC with fairness constraints and equal number of protected attribute lambda = 1.1,mlp,0.6976 ± 0.0213,0.9608 ± 0.0011,0.8082 ± 0.0145,0.9608 ± 0.0024,0.9608 ± 0.0024,0.0687 ± 0.0232,0.6222 ± 0.0920,0.1232 ± 0.0240
HC with fairness constraints and same size as original dataset lambda = 1.2,logistic_regression,0.8970 ± 0.0010,0.9602 ± 0.0000,0.9276 ± 0.0005,0.9749 ± 0.0001,0.9749 ± 0.0001,0.0435 ± 0.0006,0.5581 ± 0.0064,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 1.2,random_forest,0.8936 ± 0.0036,0.9545 ± 0.0018,0.9231 ± 0.0013,0.9719 ± 0.0007,0.9719 ± 0.0007,0.0448 ± 0.0023,0.5453 ± 0.0241,0.0194 ± 0.0133
HC with fairness constraints and same size as original dataset lambda = 1.2,xgboost,0.8961 ± 0.0026,0.9551 ± 0.0011,0.9246 ± 0.0015,0.9724 ± 0.0006,0.9724 ± 0.0006,0.0464 ± 0.0024,0.5290 ± 0.0234,0.0191 ± 0.0148
HC with fairness constraints and same size as original dataset lambda = 1.2,mlp,0.8902 ± 0.0058,0.9534 ± 0.0023,0.9207 ± 0.0030,0.9712 ± 0.0011,0.9712 ± 0.0011,0.0432 ± 0.0031,0.5613 ± 0.0316,0.0248 ± 0.0130
HC with fairness constraints and double the size of original dataset lambda = 1.2,logistic_regression,0.8989 ± 0.0000,0.9602 ± 0.0000,0.9286 ± 0.0000,0.9751 ± 0.0000,0.9751 ± 0.0000,0.0448 ± 0.0000,0.5453 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 1.2,random_forest,0.8928 ± 0.0027,0.9557 ± 0.0039,0.9232 ± 0.0029,0.9725 ± 0.0020,0.9725 ± 0.0020,0.0405 ± 0.0008,0.5865 ± 0.0080,0.0391 ± 0.0136
HC with fairness constraints and double the size of original dataset lambda = 1.2,xgboost,0.8956 ± 0.0024,0.9602 ± 0.0000,0.9268 ± 0.0013,0.9749 ± 0.0001,0.9749 ± 0.0001,0.0430 ± 0.0019,0.5642 ± 0.0190,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 1.2,mlp,0.8888 ± 0.0041,0.9580 ± 0.0021,0.9221 ± 0.0026,0.9734 ± 0.0011,0.9734 ± 0.0011,0.0387 ± 0.0018,0.6069 ± 0.0183,0.0385 ± 0.0135
